Model	Solver	Time	nbVars	nbExpr	density
AUG3DC	Clarabel4j	8107333	3873	1002	2.581977794990963E-4
AUG3DC	HiGHS	16566595000	3873	1002	2.581977794990963E-4
AUG3DC	Hipparchus		3873	1002	2.581977794990963E-4
AUG3DC	ojAlgo-QP	69672208	3873	1002	2.581977794990963E-4
AUG3DCQP	Clarabel4j	52527708	3873	1002	2.581977794990963E-4
AUG3DCQP	HiGHS	45186489208	3873	1002	2.581977794990963E-4
AUG3DCQP	Hipparchus		3873	1002	2.581977794990963E-4
AUG3DCQP	ojAlgo-QP	171389000	3873	1002	2.581977794990963E-4
CONT-050	Clarabel4j	102716750	2597	2403	3.850596842510589E-4
CONT-050	HiGHS	4605673500	2597	2403	3.850596842510589E-4
CONT-050	Hipparchus		2597	2403	3.850596842510589E-4
CONT-050	ojAlgo-QP	3074935667	2597	2403	3.850596842510589E-4
CVXQP1_L	Clarabel4j	3013576666	10000	5002	6.9968E-4
CVXQP1_L	HiGHS	43613359833	10000	5002	6.9968E-4
CVXQP1_L	Hipparchus		10000	5002	6.9968E-4
CVXQP1_L	ojAlgo-QP	107127239042	10000	5002	6.9968E-4
CVXQP1_M	Clarabel4j	88066083	1000	502	0.006968
CVXQP1_M	HiGHS	136633375	1000	502	0.006968
CVXQP1_M	Hipparchus		1000	502	0.006968
CVXQP1_M	ojAlgo-QP	133808542	1000	502	0.006968
CVXQP1_S	Clarabel4j	1391000	100	52	0.0672
CVXQP1_S	HiGHS	2134167	100	52	0.0672
CVXQP1_S	Hipparchus	340640375	100	52	0.0672
CVXQP1_S	ojAlgo-QP	218108250	100	52	0.0672
CVXQP2_L	Clarabel4j	1843474583	10000	2502	6.9968E-4
CVXQP2_L	HiGHS	56392199875	10000	2502	6.9968E-4
CVXQP2_L	Hipparchus		10000	2502	6.9968E-4
CVXQP2_L	ojAlgo-QP	26537021125	10000	2502	6.9968E-4
CVXQP2_M	Clarabel4j	60605209	1000	252	0.006968
CVXQP2_M	HiGHS	65866833	1000	252	0.006968
CVXQP2_M	Hipparchus	197646269000	1000	252	0.006968
CVXQP2_M	ojAlgo-QP	77661459	1000	252	0.006968
CVXQP2_S	Clarabel4j	1274917	100	27	0.0672
CVXQP2_S	HiGHS	1523125	100	27	0.0672
CVXQP2_S	Hipparchus	131956750	100	27	0.0672
CVXQP2_S	ojAlgo-QP	198589625	100	27	0.0672
CVXQP3_L	Clarabel4j	2481738583	10000	7502	6.9968E-4
CVXQP3_L	HiGHS	69247569125	10000	7502	6.9968E-4
CVXQP3_L	Hipparchus		10000	7502	6.9968E-4
CVXQP3_L	ojAlgo-QP	180272778542	10000	7502	6.9968E-4
CVXQP3_M	Clarabel4j	115364459	1000	752	0.006968
CVXQP3_M	HiGHS	1033695333	1000	752	0.006968
CVXQP3_M	Hipparchus		1000	752	0.006968
CVXQP3_M	ojAlgo-QP	1025594125	1000	752	0.006968
CVXQP3_S	Clarabel4j	1960416	100	77	0.0672
CVXQP3_S	HiGHS	2621833	100	77	0.0672
CVXQP3_S	Hipparchus	246363333	100	77	0.0672
CVXQP3_S	ojAlgo-QP	10035292	100	77	0.0672
DUAL1	Clarabel4j	6074125	85	3	0.9731487889273357
DUAL1	HiGHS	4275500	85	3	0.9731487889273357
DUAL1	Hipparchus	120512208	85	3	0.9731487889273357
DUAL1	ojAlgo-QP	2326583	85	3	0.9731487889273357
DUAL2	Clarabel4j	7124625	96	3	0.9678819444444444
DUAL2	HiGHS	5650000	96	3	0.9678819444444444
DUAL2	Hipparchus	120433416	96	3	0.9678819444444444
DUAL2	ojAlgo-QP	2702083	96	3	0.9678819444444444
DUAL3	Clarabel4j	10122791	111	3	0.9824689554419284
DUAL3	HiGHS	6948917	111	3	0.9824689554419284
DUAL3	Hipparchus	229774875	111	3	0.9824689554419284
DUAL3	ojAlgo-QP	3907541	111	3	0.9824689554419284
DUAL4	Clarabel4j	4098125	75	3	0.9818666666666667
DUAL4	HiGHS	2889417	75	3	0.9818666666666667
DUAL4	Hipparchus	78212875	75	3	0.9818666666666667
DUAL4	ojAlgo-QP	2148833	75	3	0.9818666666666667
DUALC1	Clarabel4j	181750	9	217	1.0
DUALC1	HiGHS	586166	9	217	1.0
DUALC1	Hipparchus		9	217	1.0
DUALC1	ojAlgo-QP	61709	9	217	1.0
DUALC2	Clarabel4j	115416	7	231	1.0
DUALC2	HiGHS	290125	7	231	1.0
DUALC2	Hipparchus	724417	7	231	1.0
DUALC2	ojAlgo-QP	123125	7	231	1.0
DUALC5	Clarabel4j	94709	8	280	1.0
DUALC5	HiGHS	277958	8	280	1.0
DUALC5	Hipparchus	393000	8	280	1.0
DUALC5	ojAlgo-QP	33583	8	280	1.0
DUALC8	Clarabel4j	160666	8	505	1.0
DUALC8	HiGHS	371542	8	505	1.0
DUALC8	Hipparchus	1040375	8	505	1.0
DUALC8	ojAlgo-QP	69583	8	505	1.0
GENHS28	Clarabel4j	34667	10	10	0.28
GENHS28	HiGHS	268084	10	10	0.28
GENHS28	Hipparchus	285458	10	10	0.28
GENHS28	ojAlgo-QP	24292	10	10	0.28
HS118	Clarabel4j	192334	15	19	0.06666666666666667
HS118	HiGHS	294709	15	19	0.06666666666666667
HS118	Hipparchus	5773750	15	19	0.06666666666666667
HS118	ojAlgo-QP	188000	15	19	0.06666666666666667
HS21	Clarabel4j	45125	2	3	0.5
HS21	HiGHS	243666	2	3	0.5
HS21	Hipparchus	97625	2	3	0.5
HS21	ojAlgo-QP	10334	2	3	0.5
HS268	Clarabel4j	84541	5	7	1.0
HS268	HiGHS	295042	5	7	1.0
HS268	Hipparchus		5	7	1.0
HS268	ojAlgo-QP	15916	5	7	1.0
HS35	Clarabel4j	39084	3	3	0.7777777777777778
HS35	HiGHS	249500	3	3	0.7777777777777778
HS35	Hipparchus	105208	3	3	0.7777777777777778
HS35	ojAlgo-QP	9667	3	3	0.7777777777777778
HS35MOD	Clarabel4j	61500	3	3	0.7777777777777778
HS35MOD	HiGHS	249000	3	3	0.7777777777777778
HS35MOD	Hipparchus	115500	3	3	0.7777777777777778
HS35MOD	ojAlgo-QP	11334	3	3	0.7777777777777778
HS51	Clarabel4j	21375	5	5	0.36
HS51	HiGHS	249500	5	5	0.36
HS51	Hipparchus	142084	5	5	0.36
HS51	ojAlgo-QP	12166	5	5	0.36
HS52	Clarabel4j	23541	5	5	0.36
HS52	HiGHS	258833	5	5	0.36
HS52	Hipparchus	171750	5	5	0.36
HS52	ojAlgo-QP	12334	5	5	0.36
HS53	Clarabel4j	56542	5	5	0.36
HS53	HiGHS	274000	5	5	0.36
HS53	Hipparchus	185250	5	5	0.36
HS53	ojAlgo-QP	24750	5	5	0.36
HS76	Clarabel4j	46791	4	5	0.5
HS76	HiGHS	558791	4	5	0.5
HS76	Hipparchus	167334	4	5	0.5
HS76	ojAlgo-QP	12125	4	5	0.5
HUES-MOD	Clarabel4j		10000	4	1.0E-4
HUES-MOD	HiGHS		10000	4	1.0E-4
HUES-MOD	Hipparchus		10000	4	1.0E-4
HUES-MOD	ojAlgo-QP	563360625	10000	4	1.0E-4
HUESTIS	Clarabel4j		10000	4	1.0E-4
HUESTIS	HiGHS		10000	4	1.0E-4
HUESTIS	Hipparchus		10000	4	1.0E-4
HUESTIS	ojAlgo-QP	566038041	10000	4	1.0E-4
KSIP	Clarabel4j	20475666	20	1003	0.05
KSIP	HiGHS		20	1003	0.05
KSIP	Hipparchus	34528320958	20	1003	0.05
KSIP	ojAlgo-QP	72177000	20	1003	0.05
LASER	Clarabel4j	12112000	1002	1002	0.005438225345715754
LASER	HiGHS		1002	1002	0.005438225345715754
LASER	Hipparchus	133644185500	1002	1002	0.005438225345715754
LASER	ojAlgo-QP	11845708	1002	1002	0.005438225345715754
MOSARQP1	Clarabel4j	20690375	2500	702	4.144E-4
MOSARQP1	HiGHS		2500	702	4.144E-4
MOSARQP1	Hipparchus		2500	702	4.144E-4
MOSARQP1	ojAlgo-QP	597597584	2500	702	4.144E-4
