Model	Solver	Time	nbVars	nbExpr	density
25FV47	HiGHS	51074083	1571	822	0.4627625716104392
25FV47	Hipparchus		1571	822	0.4627625716104392
25FV47	OR-Tools	46492083	1571	822	0.4627625716104392
25FV47	ojAlgo-LP	594543750	1571	822	0.4627625716104392
80BAU3B	HiGHS	59500791	9799	2263	0.8226349627513011
80BAU3B	Hipparchus		9799	2263	0.8226349627513011
80BAU3B	OR-Tools	81864917	9799	2263	0.8226349627513011
80BAU3B	ojAlgo-LP	3740111083	9799	2263	0.8226349627513011
ADLITTLE	HiGHS	761167	97	57	0.845360824742268
ADLITTLE	Hipparchus	1217375	97	57	0.845360824742268
ADLITTLE	OR-Tools	264459	97	57	0.845360824742268
ADLITTLE	ojAlgo-LP	121458	97	57	0.845360824742268
AFIRO	HiGHS	205875	32	28	0.15625
AFIRO	Hipparchus	103291	32	28	0.15625
AFIRO	OR-Tools	49500	32	28	0.15625
AFIRO	ojAlgo-LP	15125	32	28	0.15625
AGG	HiGHS	1254958	163	489	0.803680981595092
AGG	Hipparchus	7887042	163	489	0.803680981595092
AGG	OR-Tools	1006583	163	489	0.803680981595092
AGG	ojAlgo-LP	1049167	163	489	0.803680981595092
AGG2	HiGHS	2596500	302	517	0.7649006622516556
AGG2	Hipparchus	19878250	302	517	0.7649006622516556
AGG2	OR-Tools	1940959	302	517	0.7649006622516556
AGG2	ojAlgo-LP	1973416	302	517	0.7649006622516556
AGG3	HiGHS	2683667	302	517	0.7649006622516556
AGG3	Hipparchus	21313625	302	517	0.7649006622516556
AGG3	OR-Tools	2043500	302	517	0.7649006622516556
AGG3	ojAlgo-LP	2125667	302	517	0.7649006622516556
BANDM	HiGHS	4312833	472	306	0.3495762711864407
BANDM	Hipparchus		472	306	0.3495762711864407
BANDM	OR-Tools	2627791	472	306	0.3495762711864407
BANDM	ojAlgo-LP	8694041	472	306	0.3495762711864407
BEACONFD	HiGHS	1230459	262	174	0.38549618320610685
BEACONFD	Hipparchus	8952750	262	174	0.38549618320610685
BEACONFD	OR-Tools	560292	262	174	0.38549618320610685
BEACONFD	ojAlgo-LP	569291	262	174	0.38549618320610685
BLEND	HiGHS	758833	83	75	0.3614457831325301
BLEND	Hipparchus	2015500	83	75	0.3614457831325301
BLEND	OR-Tools	229042	83	75	0.3614457831325301
BLEND	ojAlgo-LP	149917	83	75	0.3614457831325301
BNL1	HiGHS	12369833	1175	644	0.857872340425532
BNL1	Hipparchus		1175	644	0.857872340425532
BNL1	OR-Tools	16190583	1175	644	0.857872340425532
BNL1	ojAlgo-LP	57333125	1175	644	0.857872340425532
BNL2	HiGHS	22814542	3489	2325	0.6090570364001147
BNL2	Hipparchus		3489	2325	0.6090570364001147
BNL2	OR-Tools	41597541	3489	2325	0.6090570364001147
BNL2	ojAlgo-LP	1646682958	3489	2325	0.6090570364001147
BOEING1	HiGHS	5377334	384	352	0.9895833333333334
BOEING1	Hipparchus		384	352	0.9895833333333334
BOEING1	OR-Tools	3513208	384	352	0.9895833333333334
BOEING1	ojAlgo-LP	10955500	384	352	0.9895833333333334
BOEING2	HiGHS	1214375	143	167	1.0
BOEING2	Hipparchus	36810292	143	167	1.0
BOEING2	OR-Tools	674375	143	167	1.0
BOEING2	ojAlgo-LP	565667	143	167	1.0
BORE3D	HiGHS	971167	315	234	0.3047619047619048
BORE3D	Hipparchus		315	234	0.3047619047619048
BORE3D	OR-Tools	519375	315	234	0.3047619047619048
BORE3D	ojAlgo-LP	577458	315	234	0.3047619047619048
BRANDY	HiGHS	2256250	249	221	0.008032128514056224
BRANDY	Hipparchus	29624625	249	221	0.008032128514056224
BRANDY	OR-Tools	1576000	249	221	0.008032128514056224
BRANDY	ojAlgo-LP	2268167	249	221	0.008032128514056224
CAPRI	HiGHS	1926041	353	272	0.053824362606232294
CAPRI	Hipparchus	296747833	353	272	0.053824362606232294
CAPRI	OR-Tools	1695459	353	272	0.053824362606232294
CAPRI	ojAlgo-LP	2047083	353	272	0.053824362606232294
CRE-A	HiGHS	29139917	4067	3517	1.0
CRE-A	Hipparchus	78328454625	4067	3517	1.0
CRE-A	OR-Tools	56304500	4067	3517	1.0
CRE-A	ojAlgo-LP	420907917	4067	3517	1.0
CRE-C	HiGHS	27823459	3678	3069	1.0
CRE-C	Hipparchus	59560158459	3678	3069	1.0
CRE-C	OR-Tools	50265333	3678	3069	1.0
CRE-C	ojAlgo-LP	196734750	3678	3069	1.0
