Model	Solver	Time	nbVars	nbExpr	density
22433	CPLEX	70047625	429	199	0.002331002331002331
22433	ojAlgo-MIP	200562750	429	199	0.002331002331002331
23588	CPLEX	185636333	368	138	0.002717391304347826
23588	ojAlgo-MIP	816831208	368	138	0.002717391304347826
aflow30a	CPLEX	2067007042	842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	CPLEX	18883792	771	24	1.0
air01	ojAlgo-MIP	10110500	771	24	1.0
assign1-5-8	CPLEX	176558173500	156	162	0.16666666666666666
assign1-5-8	ojAlgo-MIP		156	162	0.16666666666666666
b-ball	CPLEX	1804459	100	31	0.01
b-ball	ojAlgo-MIP		100	31	0.01
beavma	CPLEX	20519084	390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	CPLEX	31750917	133	124	0.706766917293233
bell3a	ojAlgo-MIP	2417909209	133	124	0.706766917293233
bell3b	CPLEX	37706459	133	124	0.706766917293233
bell3b	ojAlgo-MIP	1278944292	133	124	0.706766917293233
bell4	CPLEX	30599000	117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	CPLEX	8141167	104	92	0.7115384615384616
bell5	ojAlgo-MIP	14555478709	104	92	0.7115384615384616
bienst1	CPLEX	8448418500	505	577	0.0019801980198019802
bienst1	ojAlgo-MIP	100589262291	505	577	0.0019801980198019802
bienst2	CPLEX	22422456834	505	577	0.0019801980198019802
bienst2	ojAlgo-MIP		505	577	0.0019801980198019802
blend2	CPLEX	114423625	353	275	0.24929178470254956
blend2	ojAlgo-MIP	2135592583	353	275	0.24929178470254956
bm23	CPLEX	13539834	27	21	1.0
bm23	ojAlgo-MIP	8578000	27	21	1.0
bppc8-02	CPLEX	77479208	232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	3396400083	232	60	0.008620689655172414
bppc8-09	CPLEX	3061937792	431	68	0.004640371229698376
bppc8-09	ojAlgo-MIP		431	68	0.004640371229698376
breastcancer-regularized	CPLEX		715	724	0.9804195804195804
breastcancer-regularized	ojAlgo-MIP		715	724	0.9804195804195804
control30-3-2-3	CPLEX		332	513	0.006024096385542169
control30-3-2-3	ojAlgo-MIP		332	513	0.006024096385542169
cov1075	CPLEX	1556469791	120	638	1.0
cov1075	ojAlgo-MIP		120	638	1.0
cracpb1	CPLEX	21056916	572	144	1.0
cracpb1	ojAlgo-MIP	63524459	572	144	1.0
danoint	CPLEX		0	0	NaN
danoint	ojAlgo-MIP		0	0	NaN
dcmulti	CPLEX	63520333	548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	1745048333	548	291	0.9452554744525548
dfn-gwin-UUM	CPLEX	10772890875	938	159	0.09701492537313433
dfn-gwin-UUM	ojAlgo-MIP		938	159	0.09701492537313433
egout	CPLEX	2514125	141	99	0.7801418439716312
egout	ojAlgo-MIP	708331250	141	99	0.7801418439716312
ej	CPLEX		0	0	NaN
ej	ojAlgo-MIP		0	0	NaN
enigma	CPLEX	32530250	100	22	0.09
enigma	ojAlgo-MIP		100	22	0.09
enlight13	CPLEX	4509541	338	170	0.5
enlight13	ojAlgo-MIP		338	170	0.5
enlight15	CPLEX	5037041	450	226	0.5
enlight15	ojAlgo-MIP		450	226	0.5
enlight8	CPLEX	2554666	128	65	0.5
enlight8	ojAlgo-MIP	953700333	128	65	0.5
enlight_hard	CPLEX	2934958	200	101	0.5
