Model	Solver	Time	nbVars	nbExpr	density
22433	HiGHS	1722529209	429	199	0.002331002331002331
22433	SCIP	723462333	429	199	0.002331002331002331
22433	SSC-LP		429	199	0.002331002331002331
22433	ojAlgo-MIP	172747542	429	199	0.002331002331002331
23588	HiGHS	3735933125	368	138	0.002717391304347826
23588	SCIP	2035473917	368	138	0.002717391304347826
23588	SSC-LP		368	138	0.002717391304347826
23588	ojAlgo-MIP	140048875	368	138	0.002717391304347826
aflow30a	HiGHS	6630832625	842	480	0.5
aflow30a	SCIP	9319528375	842	480	0.5
aflow30a	SSC-LP		842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	HiGHS	59332042	771	24	1.0
air01	SCIP	33517000	771	24	1.0
air01	SSC-LP	245191625	771	24	1.0
air01	ojAlgo-MIP	7713041	771	24	1.0
assign1-5-8	HiGHS		0	0	NaN
assign1-5-8	SCIP		0	0	NaN
assign1-5-8	SSC-LP		0	0	NaN
assign1-5-8	ojAlgo-MIP		0	0	NaN
b-ball	HiGHS	79832083	100	31	0.01
b-ball	SCIP		100	31	0.01
b-ball	SSC-LP		100	31	0.01
b-ball	ojAlgo-MIP		100	31	0.01
beavma	HiGHS	181085750	390	373	0.882051282051282
beavma	SCIP	175446792	390	373	0.882051282051282
beavma	SSC-LP		390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	HiGHS	154885833	133	124	0.706766917293233
bell3a	SCIP	599165125	133	124	0.706766917293233
bell3a	SSC-LP		133	124	0.706766917293233
bell3a	ojAlgo-MIP	262543250	133	124	0.706766917293233
bell3b	HiGHS	294157417	133	124	0.706766917293233
bell3b	SCIP	1316713833	133	124	0.706766917293233
bell3b	SSC-LP		133	124	0.706766917293233
bell3b	ojAlgo-MIP	474591083	133	124	0.706766917293233
bell4	HiGHS	412794875	117	106	0.7094017094017094
bell4	SCIP	318622125	117	106	0.7094017094017094
bell4	SSC-LP		117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	HiGHS	252339458	104	92	0.7115384615384616
bell5	SCIP	68482458	104	92	0.7115384615384616
bell5	SSC-LP	113800962625	104	92	0.7115384615384616
bell5	ojAlgo-MIP	749602917	104	92	0.7115384615384616
bienst1	HiGHS	19270251875	505	577	0.0019801980198019802
bienst1	SCIP	46772420000	505	577	0.0019801980198019802
bienst1	SSC-LP		505	577	0.0019801980198019802
bienst1	ojAlgo-MIP		505	577	0.0019801980198019802
bienst2	HiGHS	280891349292	505	577	0.0019801980198019802
bienst2	SCIP	141589460875	505	577	0.0019801980198019802
bienst2	SSC-LP		505	577	0.0019801980198019802
bienst2	ojAlgo-MIP	156617707625	505	577	0.0019801980198019802
blend2	HiGHS	501964167	353	275	0.24929178470254956
blend2	SCIP	402804208	353	275	0.24929178470254956
blend2	SSC-LP		353	275	0.24929178470254956
blend2	ojAlgo-MIP	321691917	353	275	0.24929178470254956
bm23	HiGHS	68855542	27	21	1.0
bm23	SCIP	96900250	27	21	1.0
bm23	SSC-LP	85138833	27	21	1.0
bm23	ojAlgo-MIP	1886625	27	21	1.0
bppc8-02	HiGHS	155520625	232	60	0.008620689655172414
bppc8-02	SCIP	113415000	232	60	0.008620689655172414
bppc8-02	SSC-LP		232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	581357834	232	60	0.008620689655172414
bppc8-09	HiGHS		0	0	NaN
bppc8-09	SCIP		0	0	NaN
bppc8-09	SSC-LP		0	0	NaN
bppc8-09	ojAlgo-MIP		0	0	NaN
breastcancer-regularized	HiGHS		0	0	NaN
breastcancer-regularized	SCIP		0	0	NaN
breastcancer-regularized	SSC-LP		0	0	NaN
breastcancer-regularized	ojAlgo-MIP		0	0	NaN
control30-3-2-3	HiGHS		332	513	0.006024096385542169
control30-3-2-3	SCIP		332	513	0.006024096385542169
control30-3-2-3	SSC-LP		332	513	0.006024096385542169
control30-3-2-3	ojAlgo-MIP		332	513	0.006024096385542169
cov1075	HiGHS	26307400584	120	638	1.0
cov1075	SCIP		120	638	1.0
cov1075	SSC-LP		120	638	1.0
cov1075	ojAlgo-MIP		120	638	1.0
cracpb1	HiGHS	26564958	572	144	1.0
cracpb1	SCIP	69557333	572	144	1.0
cracpb1	SSC-LP		572	144	1.0
cracpb1	ojAlgo-MIP	39320000	572	144	1.0
danoint	HiGHS		0	0	NaN
danoint	SCIP		0	0	NaN
danoint	SSC-LP		0	0	NaN
danoint	ojAlgo-MIP		0	0	NaN
dcmulti	HiGHS	549865500	548	291	0.9452554744525548
dcmulti	SCIP	1131700000	548	291	0.9452554744525548
dcmulti	SSC-LP		548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	566885709	548	291	0.9452554744525548
dfn-gwin-UUM	HiGHS	125523443916	938	159	0.09701492537313433
dfn-gwin-UUM	SCIP	36326737875	938	159	0.09701492537313433
dfn-gwin-UUM	SSC-LP		938	159	0.09701492537313433
dfn-gwin-UUM	ojAlgo-MIP	216261452000	938	159	0.09701492537313433
egout	HiGHS	7981125	141	99	0.7801418439716312
egout	SCIP	2513417	141	99	0.7801418439716312
egout	SSC-LP	2158218292	141	99	0.7801418439716312
egout	ojAlgo-MIP	175351875	141	99	0.7801418439716312
ej	HiGHS		3	2	0.3333333333333333
ej	SCIP	12775364333	3	2	0.3333333333333333
ej	SSC-LP		3	2	0.3333333333333333
ej	ojAlgo-MIP		3	2	0.3333333333333333
enigma	HiGHS	98886000	100	22	0.09
enigma	SCIP	104418709	100	22	0.09
enigma	SSC-LP	2001163292	100	22	0.09
enigma	ojAlgo-MIP	7022208	100	22	0.09
enlight13	HiGHS	119936392417	338	170	0.5
enlight13	SCIP	3834083	338	170	0.5
enlight13	SSC-LP		338	170	0.5
enlight13	ojAlgo-MIP		338	170	0.5
enlight15	HiGHS		450	226	0.5
enlight15	SCIP	5275625	450	226	0.5
enlight15	SSC-LP		450	226	0.5
enlight15	ojAlgo-MIP		450	226	0.5
enlight8	HiGHS	329310166	128	65	0.5
enlight8	SCIP	2216000	128	65	0.5
enlight8	SSC-LP		128	65	0.5
enlight8	ojAlgo-MIP	375651291	128	65	0.5
enlight_hard	HiGHS	4198060083	200	101	0.5
enlight_hard	SCIP	3047542	200	101	0.5
enlight_hard	SSC-LP		200	101	0.5
enlight_hard	ojAlgo-MIP	9825485959	200	101	0.5
exp-1-500-5-5	HiGHS	2082507625	990	551	1.0
exp-1-500-5-5	SCIP	1149803500	990	551	1.0
exp-1-500-5-5	SSC-LP		990	551	1.0
exp-1-500-5-5	ojAlgo-MIP		990	551	1.0
f2gap40400	HiGHS	5597959	400	41	0.9925
f2gap40400	SCIP	21852208	400	41	0.9925
f2gap40400	SSC-LP	11815997291	400	41	0.9925
f2gap40400	ojAlgo-MIP	133234209	400	41	0.9925
fixnet3	HiGHS	46174833	878	479	0.9965831435079726
fixnet3	SCIP	14254292	878	479	0.9965831435079726
fixnet3	SSC-LP		878	479	0.9965831435079726
fixnet3	ojAlgo-MIP		878	479	0.9965831435079726
fixnet4	HiGHS	183374625	878	479	0.9851936218678815
fixnet4	SCIP	240356167	878	479	0.9851936218678815
fixnet4	SSC-LP		878	479	0.9851936218678815
fixnet4	ojAlgo-MIP		878	479	0.9851936218678815
fixnet6	HiGHS	1320552500	878	479	0.9043280182232346
fixnet6	SCIP	3107843084	878	479	0.9043280182232346
fixnet6	SSC-LP		878	479	0.9043280182232346
fixnet6	ojAlgo-MIP		878	479	0.9043280182232346
flugpl	HiGHS	38327167	18	19	1.0
flugpl	SCIP	15535542	18	19	1.0
flugpl	SSC-LP	17928167	18	19	1.0
flugpl	ojAlgo-MIP	911834	18	19	1.0
gen	HiGHS	10289958	870	781	0.6689655172413793
gen	SCIP	9390458	870	781	0.6689655172413793
gen	SSC-LP		870	781	0.6689655172413793
gen	ojAlgo-MIP	513410125	870	781	0.6689655172413793
gen-ip002	HiGHS		41	25	1.0
gen-ip002	SCIP		41	25	1.0
gen-ip002	SSC-LP		41	25	1.0
gen-ip002	ojAlgo-MIP	31561842667	41	25	1.0
gen-ip016	HiGHS		0	0	NaN
gen-ip016	SCIP		0	0	NaN
gen-ip016	SSC-LP		0	0	NaN
gen-ip016	ojAlgo-MIP		0	0	NaN
gen-ip021	HiGHS	247844705125	35	29	1.0
gen-ip021	SCIP	158455320125	35	29	1.0
gen-ip021	SSC-LP		35	29	1.0
gen-ip021	ojAlgo-MIP	12188012792	35	29	1.0
gen-ip036	HiGHS	264701526250	29	47	1.0
gen-ip036	SCIP	144796760958	29	47	1.0
gen-ip036	SSC-LP		29	47	1.0
gen-ip036	ojAlgo-MIP	15877138000	29	47	1.0
gen-ip054	HiGHS		30	28	1.0
gen-ip054	SCIP		30	28	1.0
gen-ip054	SSC-LP		30	28	1.0
gen-ip054	ojAlgo-MIP	24113657750	30	28	1.0
glass4	HiGHS		322	397	0.059006211180124224
glass4	SCIP	78525988250	322	397	0.059006211180124224
glass4	SSC-LP		322	397	0.059006211180124224
glass4	ojAlgo-MIP		322	397	0.059006211180124224
go19	HiGHS		441	442	0.81859410430839
go19	SCIP		441	442	0.81859410430839
go19	SSC-LP		441	442	0.81859410430839
go19	ojAlgo-MIP		441	442	0.81859410430839
gr4x6	HiGHS	6763458	48	35	1.0
gr4x6	SCIP	2300458	48	35	1.0
gr4x6	SSC-LP	4765291	48	35	1.0
gr4x6	ojAlgo-MIP	844375	48	35	1.0
graphdraw-domain	HiGHS		0	0	NaN
graphdraw-domain	SCIP		0	0	NaN
graphdraw-domain	SSC-LP		0	0	NaN
graphdraw-domain	ojAlgo-MIP		0	0	NaN
graphdraw-gemcutter	HiGHS	75934580625	166	475	0.2289156626506024
graphdraw-gemcutter	SCIP	48659933000	166	475	0.2289156626506024
graphdraw-gemcutter	SSC-LP		166	475	0.2289156626506024
graphdraw-gemcutter	ojAlgo-MIP		166	475	0.2289156626506024
gsvm2rl3	HiGHS	4857730000	241	181	0.7468879668049793
gsvm2rl3	SCIP	3245798041	241	181	0.7468879668049793
gsvm2rl3	SSC-LP		241	181	0.7468879668049793
gsvm2rl3	ojAlgo-MIP		241	181	0.7468879668049793
gsvm2rl5	HiGHS		0	0	NaN
gsvm2rl5	SCIP		0	0	NaN
gsvm2rl5	SSC-LP		0	0	NaN
gsvm2rl5	ojAlgo-MIP		0	0	NaN
gt2	HiGHS	25296250	188	30	0.48936170212765956
gt2	SCIP	12010333	188	30	0.48936170212765956
gt2	SSC-LP	5128110000	188	30	0.48936170212765956
gt2	ojAlgo-MIP	11626542	188	30	0.48936170212765956
ic97_tension	HiGHS	11416705250	703	320	0.2759601706970128
ic97_tension	SCIP	5199541334	703	320	0.2759601706970128
ic97_tension	SSC-LP		703	320	0.2759601706970128
ic97_tension	ojAlgo-MIP		703	320	0.2759601706970128
k16x240	HiGHS		0	0	NaN
