Model	Solver	Time	nbVars	nbExpr	density
22433	COPT	175088208	429	199	0.002331002331002331
22433	CPLEX	37643959	429	199	0.002331002331002331
22433	HiGHS	1895803292	429	199	0.002331002331002331
22433	Xpress	237676250	429	199	0.002331002331002331
23588	COPT	364415458	368	138	0.002717391304347826
23588	CPLEX	110397250	368	138	0.002717391304347826
23588	HiGHS	3904145667	368	138	0.002717391304347826
23588	Xpress	448286292	368	138	0.002717391304347826
aflow30a	COPT	2263061625	842	480	0.5
aflow30a	CPLEX	742810625	842	480	0.5
aflow30a	HiGHS	7535612375	842	480	0.5
aflow30a	Xpress	657459583	842	480	0.5
air01	COPT	22359458	771	24	1.0
air01	CPLEX	15069250	771	24	1.0
air01	HiGHS	60373125	771	24	1.0
air01	Xpress	5466958	771	24	1.0
assign1-5-8	COPT		156	162	0.16666666666666666
assign1-5-8	CPLEX	62078698791	156	162	0.16666666666666666
assign1-5-8	HiGHS		156	162	0.16666666666666666
assign1-5-8	Xpress		156	162	0.16666666666666666
b-ball	COPT	4855959	100	31	0.01
b-ball	CPLEX	2090250	100	31	0.01
b-ball	HiGHS	79475083	100	31	0.01
b-ball	Xpress	1640416	100	31	0.01
beavma	COPT	105065083	390	373	0.882051282051282
beavma	CPLEX	15176250	390	373	0.882051282051282
beavma	HiGHS	184513209	390	373	0.882051282051282
beavma	Xpress	25767292	390	373	0.882051282051282
bell3a	COPT		133	124	0.706766917293233
bell3a	CPLEX	40424500	133	124	0.706766917293233
bell3a	HiGHS	157123917	133	124	0.706766917293233
bell3a	Xpress	20983750	133	124	0.706766917293233
bell3b	COPT	80530625	133	124	0.706766917293233
bell3b	CPLEX	31113625	133	124	0.706766917293233
bell3b	HiGHS	335174292	133	124	0.706766917293233
bell3b	Xpress	145648000	133	124	0.706766917293233
bell4	COPT	73298625	117	106	0.7094017094017094
bell4	CPLEX	26637125	117	106	0.7094017094017094
bell4	HiGHS	415573500	117	106	0.7094017094017094
bell4	Xpress	198060750	117	106	0.7094017094017094
bell5	COPT		104	92	0.7115384615384616
bell5	CPLEX	13525708	104	92	0.7115384615384616
bell5	HiGHS	283463625	104	92	0.7115384615384616
bell5	Xpress	28869708	104	92	0.7115384615384616
bienst1	COPT	8359339750	505	577	0.0019801980198019802
bienst1	CPLEX	3276981208	505	577	0.0019801980198019802
bienst1	HiGHS	20434498667	505	577	0.0019801980198019802
bienst1	Xpress	1249384208	505	577	0.0019801980198019802
bienst2	COPT	20128967791	505	577	0.0019801980198019802
bienst2	CPLEX	8370753209	505	577	0.0019801980198019802
bienst2	HiGHS		505	577	0.0019801980198019802
bienst2	Xpress	7746155541	505	577	0.0019801980198019802
blend2	COPT	118989042	353	275	0.24929178470254956
blend2	CPLEX	64600208	353	275	0.24929178470254956
blend2	HiGHS	523154875	353	275	0.24929178470254956
blend2	Xpress	190500167	353	275	0.24929178470254956
bm23	COPT	31099292	27	21	1.0
bm23	CPLEX	10610167	27	21	1.0
bm23	HiGHS	69053750	27	21	1.0
bm23	Xpress	25819416	27	21	1.0
bppc8-02	COPT	23361500	232	60	0.008620689655172414
bppc8-02	CPLEX	50628125	232	60	0.008620689655172414
bppc8-02	HiGHS	161472250	232	60	0.008620689655172414
bppc8-02	Xpress	30206917	232	60	0.008620689655172414
bppc8-09	COPT	121468388083	431	68	0.004640371229698376
bppc8-09	CPLEX	403377916	431	68	0.004640371229698376
bppc8-09	HiGHS		431	68	0.004640371229698376
bppc8-09	Xpress	931038958	431	68	0.004640371229698376
breastcancer-regularized	COPT	121545085958	715	724	0.9804195804195804
breastcancer-regularized	CPLEX		715	724	0.9804195804195804
breastcancer-regularized	HiGHS		715	724	0.9804195804195804
breastcancer-regularized	Xpress	82341894750	715	724	0.9804195804195804
control30-3-2-3	COPT		332	513	0.006024096385542169
control30-3-2-3	CPLEX		332	513	0.006024096385542169
control30-3-2-3	HiGHS		332	513	0.006024096385542169
control30-3-2-3	Xpress		332	513	0.006024096385542169
cov1075	COPT	5642284584	120	638	1.0
cov1075	CPLEX	790399833	120	638	1.0
cov1075	HiGHS	27771204500	120	638	1.0
cov1075	Xpress	2011567875	120	638	1.0
cracpb1	COPT	27426083	572	144	1.0
cracpb1	CPLEX	15756917	572	144	1.0
cracpb1	HiGHS	26174625	572	144	1.0
cracpb1	Xpress	12969166	572	144	1.0
danoint	COPT	218915373333	521	665	0.0019193857965451055
danoint	CPLEX	81139423667	521	665	0.0019193857965451055
danoint	HiGHS		521	665	0.0019193857965451055
danoint	Xpress	93809841625	521	665	0.0019193857965451055
dcmulti	COPT	195982959	548	291	0.9452554744525548
dcmulti	CPLEX	45768458	548	291	0.9452554744525548
dcmulti	HiGHS	595893833	548	291	0.9452554744525548
dcmulti	Xpress	174933208	548	291	0.9452554744525548
dfn-gwin-UUM	COPT	13041658375	938	159	0.09701492537313433
dfn-gwin-UUM	CPLEX	3160008791	938	159	0.09701492537313433
dfn-gwin-UUM	HiGHS	144038842125	938	159	0.09701492537313433
dfn-gwin-UUM	Xpress	20874535167	938	159	0.09701492537313433
egout	COPT	7728250	141	99	0.7801418439716312
egout	CPLEX	2183458	141	99	0.7801418439716312
egout	HiGHS	7983375	141	99	0.7801418439716312
egout	Xpress	3924459	141	99	0.7801418439716312
ej	COPT	3926000	3	2	0.3333333333333333
ej	CPLEX		3	2	0.3333333333333333
ej	HiGHS		3	2	0.3333333333333333
ej	Xpress		3	2	0.3333333333333333
enigma	COPT	49331375	100	22	0.09
enigma	CPLEX	17979125	100	22	0.09
enigma	HiGHS	104145583	100	22	0.09
enigma	Xpress	80589834	100	22	0.09
enlight13	COPT	4134875	338	170	0.5
enlight13	CPLEX	2804541	338	170	0.5
enlight13	HiGHS	127293470417	338	170	0.5
enlight13	Xpress	785333	338	170	0.5
enlight15	COPT	8328453667	450	226	0.5
enlight15	CPLEX	3155291	450	226	0.5
enlight15	HiGHS		450	226	0.5
enlight15	Xpress	1012375	450	226	0.5
enlight8	COPT	2770666	128	65	0.5
enlight8	CPLEX	1578459	128	65	0.5
enlight8	HiGHS	346433958	128	65	0.5
enlight8	Xpress	519125	128	65	0.5
enlight_hard	COPT	3188208	200	101	0.5
enlight_hard	CPLEX	2296875	200	101	0.5
enlight_hard	HiGHS	4491340042	200	101	0.5
enlight_hard	Xpress	595875	200	101	0.5
exp-1-500-5-5	COPT	382775167	990	551	1.0
exp-1-500-5-5	CPLEX	425004417	990	551	1.0
exp-1-500-5-5	HiGHS	2474442875	990	551	1.0
exp-1-500-5-5	Xpress	282244041	990	551	1.0
f2gap40400	COPT	44093833	400	41	0.9925
f2gap40400	CPLEX	7155333	400	41	0.9925
f2gap40400	HiGHS	6959625	400	41	0.9925
f2gap40400	Xpress	13410041	400	41	0.9925
fixnet3	COPT	67246959	878	479	0.9965831435079726
fixnet3	CPLEX	42065250	878	479	0.9965831435079726
fixnet3	HiGHS	52736417	878	479	0.9965831435079726
fixnet3	Xpress	11402167	878	479	0.9965831435079726
fixnet4	COPT	286930958	878	479	0.9851936218678815
fixnet4	CPLEX	42059375	878	479	0.9851936218678815
fixnet4	HiGHS	192506792	878	479	0.9851936218678815
fixnet4	Xpress	99939916	878	479	0.9851936218678815
fixnet6	COPT	932181458	878	479	0.9043280182232346
fixnet6	CPLEX	43546750	878	479	0.9043280182232346
fixnet6	HiGHS	1522200666	878	479	0.9043280182232346
fixnet6	Xpress	391765583	878	479	0.9043280182232346
flugpl	COPT	660959	18	19	1.0
flugpl	CPLEX	2239625	18	19	1.0
flugpl	HiGHS	39290625	18	19	1.0
flugpl	Xpress	932542	18	19	1.0
gen	COPT	32887000	870	781	0.6689655172413793
gen	CPLEX	11145000	870	781	0.6689655172413793
gen	HiGHS	11838250	870	781	0.6689655172413793
gen	Xpress	11039084	870	781	0.6689655172413793
gen-ip002	COPT	69986824250	41	25	1.0
gen-ip002	CPLEX	48993661083	41	25	1.0
gen-ip002	HiGHS		41	25	1.0
gen-ip002	Xpress	61450736208	41	25	1.0
gen-ip016	COPT		28	25	1.0
gen-ip016	CPLEX		28	25	1.0
gen-ip016	HiGHS		28	25	1.0
gen-ip016	Xpress		28	25	1.0
gen-ip021	COPT	31608511000	35	29	1.0
gen-ip021	CPLEX	28971509375	35	29	1.0
gen-ip021	HiGHS	262903818584	35	29	1.0
gen-ip021	Xpress	36023938292	35	29	1.0
gen-ip036	COPT	81096267459	29	47	1.0
gen-ip036	CPLEX	23477252125	29	47	1.0
gen-ip036	HiGHS	280902304916	29	47	1.0
gen-ip036	Xpress	18613103917	29	47	1.0
gen-ip054	COPT	32536588542	30	28	1.0
gen-ip054	CPLEX	46647137833	30	28	1.0
gen-ip054	HiGHS		30	28	1.0
gen-ip054	Xpress	53907165208	30	28	1.0
glass4	COPT	13843638584	322	397	0.059006211180124224
glass4	CPLEX	12331733542	322	397	0.059006211180124224
glass4	HiGHS		322	397	0.059006211180124224
glass4	Xpress	12661551791	322	397	0.059006211180124224
go19	COPT		441	442	0.81859410430839
go19	CPLEX		441	442	0.81859410430839
go19	HiGHS		441	442	0.81859410430839
go19	Xpress		441	442	0.81859410430839
gr4x6	COPT	26574792	48	35	1.0
gr4x6	CPLEX	3211541	48	35	1.0
gr4x6	HiGHS	7917125	48	35	1.0
gr4x6	Xpress	3889667	48	35	1.0
graphdraw-domain	COPT	65199160333	254	866	0.2125984251968504
graphdraw-domain	CPLEX	16034580500	254	866	0.2125984251968504
graphdraw-domain	HiGHS		254	866	0.2125984251968504
graphdraw-domain	Xpress	20153638459	254	866	0.2125984251968504
