Model	Solver	Time	nbVars	nbExpr	density
22433	CPLEX	58259917	429	199	0.002331002331002331
22433	HiGHS	1809950500	429	199	0.002331002331002331
22433	SCIP	778096708	429	199	0.002331002331002331
22433	ojAlgo-MIP	196745666	429	199	0.002331002331002331
23588	CPLEX	113587333	368	138	0.002717391304347826
23588	HiGHS	3953112250	368	138	0.002717391304347826
23588	SCIP	2360527959	368	138	0.002717391304347826
23588	ojAlgo-MIP	378242334	368	138	0.002717391304347826
aflow30a	CPLEX	1189884708	842	480	0.5
aflow30a	HiGHS	7608185709	842	480	0.5
aflow30a	SCIP	11240610083	842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	CPLEX	16880166	771	24	1.0
air01	HiGHS	60126250	771	24	1.0
air01	SCIP	41294791	771	24	1.0
air01	ojAlgo-MIP	5880959	771	24	1.0
beavma	CPLEX	19037042	390	373	0.882051282051282
beavma	HiGHS	211010958	390	373	0.882051282051282
beavma	SCIP	230748791	390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	CPLEX	27160250	133	124	0.706766917293233
bell3a	HiGHS	175108167	133	124	0.706766917293233
bell3a	SCIP	631785084	133	124	0.706766917293233
bell3a	ojAlgo-MIP	757191125	133	124	0.706766917293233
bell3b	CPLEX	31025791	133	124	0.706766917293233
bell3b	HiGHS	307384167	133	124	0.706766917293233
bell3b	SCIP	1598256292	133	124	0.706766917293233
bell3b	ojAlgo-MIP	387522041	133	124	0.706766917293233
bell4	CPLEX	26796833	117	106	0.7094017094017094
bell4	HiGHS	462744834	117	106	0.7094017094017094
bell4	SCIP	389216333	117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	CPLEX	8753375	104	92	0.7115384615384616
bell5	HiGHS	290217583	104	92	0.7115384615384616
bell5	SCIP	73537666	104	92	0.7115384615384616
bell5	ojAlgo-MIP	6227793541	104	92	0.7115384615384616
bienst1	CPLEX	4777955917	505	577	0.0019801980198019802
bienst1	HiGHS	20661229000	505	577	0.0019801980198019802
bienst1	SCIP	53882970167	505	577	0.0019801980198019802
bienst1	ojAlgo-MIP		505	577	0.0019801980198019802
blend2	CPLEX	78224541	353	275	0.24929178470254956
blend2	HiGHS	602364500	353	275	0.24929178470254956
blend2	SCIP	493482667	353	275	0.24929178470254956
blend2	ojAlgo-MIP		353	275	0.24929178470254956
bm23	CPLEX	11037083	27	21	1.0
bm23	HiGHS	70569625	27	21	1.0
bm23	SCIP	112620125	27	21	1.0
bm23	ojAlgo-MIP	5119041	27	21	1.0
bppc8-02	CPLEX	41099750	232	60	0.008620689655172414
bppc8-02	HiGHS	164827084	232	60	0.008620689655172414
bppc8-02	SCIP	115466917	232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	705247791	232	60	0.008620689655172414
cracpb1	CPLEX	16493625	572	144	1.0
cracpb1	HiGHS	29204125	572	144	1.0
cracpb1	SCIP	83161833	572	144	1.0
cracpb1	ojAlgo-MIP	37189375	572	144	1.0
dcmulti	CPLEX	57685291	548	291	0.9452554744525548
dcmulti	HiGHS	620217500	548	291	0.9452554744525548
dcmulti	SCIP	1405863875	548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	1084607292	548	291	0.9452554744525548
egout	CPLEX	2015208	141	99	0.7801418439716312
egout	HiGHS	7964250	141	99	0.7801418439716312
egout	SCIP	2943917	141	99	0.7801418439716312
egout	ojAlgo-MIP	361338083	141	99	0.7801418439716312
enigma	CPLEX	19556917	100	22	0.09
enigma	HiGHS	103277708	100	22	0.09
enigma	SCIP	141937375	100	22	0.09
enigma	ojAlgo-MIP		100	22	0.09
enlight8	CPLEX	2604042	128	65	0.5
enlight8	HiGHS	346405000	128	65	0.5
enlight8	SCIP	2227166	128	65	0.5
enlight8	ojAlgo-MIP	549281792	128	65	0.5
enlight_hard	CPLEX	2220208	200	101	0.5
enlight_hard	HiGHS	4520657750	200	101	0.5
enlight_hard	SCIP	2370625	200	101	0.5
enlight_hard	ojAlgo-MIP	86413517083	200	101	0.5
exp-1-500-5-5	CPLEX	547133208	990	551	1.0
exp-1-500-5-5	HiGHS	2433358667	990	551	1.0
exp-1-500-5-5	SCIP	1232659541	990	551	1.0
exp-1-500-5-5	ojAlgo-MIP		990	551	1.0
f2gap40400	CPLEX	6748042	400	41	0.9925
f2gap40400	HiGHS	6547292	400	41	0.9925
f2gap40400	SCIP	23495167	400	41	0.9925
f2gap40400	ojAlgo-MIP	255955500	400	41	0.9925
fixnet3	CPLEX	31997209	878	479	0.9965831435079726
fixnet3	HiGHS	55655291	878	479	0.9965831435079726
fixnet3	SCIP	18007708	878	479	0.9965831435079726
fixnet3	ojAlgo-MIP		878	479	0.9965831435079726
fixnet4	CPLEX	46697750	878	479	0.9851936218678815
fixnet4	HiGHS	210333834	878	479	0.9851936218678815
fixnet4	SCIP	283136833	878	479	0.9851936218678815
fixnet4	ojAlgo-MIP		878	479	0.9851936218678815
fixnet6	CPLEX	40966708	878	479	0.9043280182232346
fixnet6	HiGHS	1444334083	878	479	0.9043280182232346
fixnet6	SCIP	3336082125	878	479	0.9043280182232346
fixnet6	ojAlgo-MIP		878	479	0.9043280182232346
flugpl	CPLEX	1324125	18	19	1.0
flugpl	HiGHS	39537250	18	19	1.0
flugpl	SCIP	16243333	18	19	1.0
flugpl	ojAlgo-MIP	13109166	18	19	1.0
gen	CPLEX	10642125	870	781	0.6689655172413793
gen	HiGHS	12498250	870	781	0.6689655172413793
gen	SCIP	11786500	870	781	0.6689655172413793
gen	ojAlgo-MIP	3874882417	870	781	0.6689655172413793
gr4x6	CPLEX	2353833	48	35	1.0
gr4x6	HiGHS	7133375	48	35	1.0
