Model	Solver	Time	nbVars	nbExpr	density
22433	HiGHS	2045571750	429	199	0.002331002331002331
22433	SCIP	878063292	429	199	0.002331002331002331
22433	SSC-LP		429	199	0.002331002331002331
22433	ojAlgo-MIP		429	199	0.002331002331002331
23588	HiGHS	4564523709	368	138	0.002717391304347826
23588	SCIP	2428849542	368	138	0.002717391304347826
23588	SSC-LP		368	138	0.002717391304347826
23588	ojAlgo-MIP	578918167	368	138	0.002717391304347826
aflow30a	HiGHS	7875827958	842	480	0.5
aflow30a	SCIP	10551972958	842	480	0.5
aflow30a	SSC-LP		842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	HiGHS	70325959	771	24	1.0
air01	SCIP	49358583	771	24	1.0
air01	SSC-LP	307587917	771	24	1.0
air01	ojAlgo-MIP	11436583	771	24	1.0
beavma	HiGHS	202662208	390	373	0.882051282051282
beavma	SCIP	238339333	390	373	0.882051282051282
beavma	SSC-LP		390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	HiGHS	198651291	133	124	0.706766917293233
bell3a	SCIP	278601667	133	124	0.706766917293233
bell3a	SSC-LP		133	124	0.706766917293233
bell3a	ojAlgo-MIP	816155875	133	124	0.706766917293233
bell3b	HiGHS	335361250	133	124	0.706766917293233
bell3b	SCIP	1598450500	133	124	0.706766917293233
bell3b	SSC-LP		133	124	0.706766917293233
bell3b	ojAlgo-MIP	475263792	133	124	0.706766917293233
bell4	HiGHS	464583708	117	106	0.7094017094017094
bell4	SCIP	659025042	117	106	0.7094017094017094
bell4	SSC-LP		117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	HiGHS	314959833	104	92	0.7115384615384616
bell5	SCIP	107561833	104	92	0.7115384615384616
bell5	SSC-LP	192380664125	104	92	0.7115384615384616
bell5	ojAlgo-MIP	9121780875	104	92	0.7115384615384616
bienst1	HiGHS	22008676542	505	577	0.0019801980198019802
bienst1	SCIP	60615178125	505	577	0.0019801980198019802
bienst1	SSC-LP		505	577	0.0019801980198019802
bienst1	ojAlgo-MIP	209359830875	505	577	0.0019801980198019802
