Model	Solver	Time	nbVars	nbExpr	density
25FV47	HiGHS	66085250	1571	822	0.4627625716104392
25FV47	Hipparchus		1571	822	0.4627625716104392
25FV47	SCIP	268007000	1571	822	0.4627625716104392
25FV47	ojAlgo-LP	728046416	1571	822	0.4627625716104392
80BAU3B	HiGHS	85643625	9799	2263	0.8226349627513011
80BAU3B	Hipparchus		9799	2263	0.8226349627513011
80BAU3B	SCIP	319176000	9799	2263	0.8226349627513011
80BAU3B	ojAlgo-LP	2743887791	9799	2263	0.8226349627513011
ADLITTLE	HiGHS	1059084	97	57	0.845360824742268
ADLITTLE	Hipparchus	1907125	97	57	0.845360824742268
ADLITTLE	SCIP	3262250	97	57	0.845360824742268
ADLITTLE	ojAlgo-LP	115000	97	57	0.845360824742268
AFIRO	HiGHS	630416	32	28	0.15625
AFIRO	Hipparchus	130333	32	28	0.15625
AFIRO	SCIP	1677417	32	28	0.15625
AFIRO	ojAlgo-LP	18208	32	28	0.15625
AGG	HiGHS	2060333	163	489	0.803680981595092
AGG	Hipparchus	13719333	163	489	0.803680981595092
AGG	SCIP	4845708	163	489	0.803680981595092
AGG	ojAlgo-LP	1621917	163	489	0.803680981595092
AGG2	HiGHS	5565583	302	517	0.7649006622516556
AGG2	Hipparchus	25286875	302	517	0.7649006622516556
AGG2	SCIP	10803500	302	517	0.7649006622516556
AGG2	ojAlgo-LP	3763333	302	517	0.7649006622516556
AGG3	HiGHS	4966333	302	517	0.7649006622516556
AGG3	Hipparchus	38825166	302	517	0.7649006622516556
AGG3	SCIP	9155916	302	517	0.7649006622516556
AGG3	ojAlgo-LP	2970083	302	517	0.7649006622516556
BANDM	HiGHS	7554875	472	306	0.3495762711864407
BANDM	Hipparchus		472	306	0.3495762711864407
BANDM	SCIP	15612542	472	306	0.3495762711864407
BANDM	ojAlgo-LP	15012125	472	306	0.3495762711864407
BEACONFD	HiGHS	2008375	262	174	0.38549618320610685
BEACONFD	Hipparchus	13513542	262	174	0.38549618320610685
BEACONFD	SCIP	3184166	262	174	0.38549618320610685
BEACONFD	ojAlgo-LP	980875	262	174	0.38549618320610685
BLEND	HiGHS	1301209	83	75	0.3614457831325301
BLEND	Hipparchus	2894500	83	75	0.3614457831325301
BLEND	SCIP	3169500	83	75	0.3614457831325301
BLEND	ojAlgo-LP	213708	83	75	0.3614457831325301
BNL1	HiGHS	18828125	1175	644	0.857872340425532
BNL1	Hipparchus		1175	644	0.857872340425532
BNL1	SCIP	61153208	1175	644	0.857872340425532
BNL1	ojAlgo-LP	143272209	1175	644	0.857872340425532
BNL2	HiGHS	36201042	3489	2325	0.6090570364001147
BNL2	Hipparchus		3489	2325	0.6090570364001147
BNL2	SCIP	112332209	3489	2325	0.6090570364001147
BNL2	ojAlgo-LP	2911876666	3489	2325	0.6090570364001147
BOEING1	HiGHS	7112458	384	352	0.9895833333333334
BOEING1	Hipparchus		384	352	0.9895833333333334
BOEING1	SCIP	16303541	384	352	0.9895833333333334
BOEING1	ojAlgo-LP	13111750	384	352	0.9895833333333334
BOEING2	HiGHS	2316500	143	167	1.0
BOEING2	Hipparchus	45324875	143	167	1.0
BOEING2	SCIP	3585917	143	167	1.0
BOEING2	ojAlgo-LP	1034375	143	167	1.0
BORE3D	HiGHS	1727541	315	234	0.3047619047619048
BORE3D	Hipparchus		315	234	0.3047619047619048
BORE3D	SCIP	3754542	315	234	0.3047619047619048
BORE3D	ojAlgo-LP	1219167	315	234	0.3047619047619048
BRANDY	HiGHS	4897958	249	221	0.008032128514056224
BRANDY	Hipparchus	44085000	249	221	0.008032128514056224
BRANDY	SCIP	13050833	249	221	0.008032128514056224
BRANDY	ojAlgo-LP	3034542	249	221	0.008032128514056224
CAPRI	HiGHS	3925250	353	272	0.053824362606232294
CAPRI	Hipparchus	386022000	353	272	0.053824362606232294
CAPRI	SCIP	9059750	353	272	0.053824362606232294
CAPRI	ojAlgo-LP	2865542	353	272	0.053824362606232294
CRE-A	HiGHS	52573083	4067	3517	1.0
CRE-A	Hipparchus	158966672833	4067	3517	1.0
CRE-A	SCIP	174119750	4067	3517	1.0
CRE-A	ojAlgo-LP	910411167	4067	3517	1.0
CRE-C	HiGHS	48688500	3678	3069	1.0
CRE-C	Hipparchus	128398404166	3678	3069	1.0
CRE-C	SCIP	140012375	3678	3069	1.0
CRE-C	ojAlgo-LP	584613542	3678	3069	1.0
CYCLE	HiGHS	92668166	2857	1904	0.21071053552677635
CYCLE	Hipparchus		2857	1904	0.21071053552677635
CYCLE	SCIP	80017959	2857	1904	0.21071053552677635
CYCLE	ojAlgo-LP	3164973458	2857	1904	0.21071053552677635
CZPROB	HiGHS	27076666	3523	930	0.9946068691456146
CZPROB	Hipparchus	4573305542	3523	930	0.9946068691456146
CZPROB	SCIP	41860750	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP	188009875	3523	930	0.9946068691456146
D2Q06C	HiGHS	424636917	5167	2172	0.6303464292626282
D2Q06C	Hipparchus		5167	2172	0.6303464292626282
D2Q06C	SCIP	1910711917	5167	2172	0.6303464292626282
D2Q06C	ojAlgo-LP	35962808208	5167	2172	0.6303464292626282
D6CUBE	HiGHS	99205791	6184	416	1.0
D6CUBE	Hipparchus		6184	416	1.0
D6CUBE	SCIP	238640417	6184	416	1.0
D6CUBE	ojAlgo-LP	447475208	6184	416	1.0
DEGEN2	HiGHS	12002459	534	445	0.8820224719101124
DEGEN2	Hipparchus	713389125	534	445	0.8820224719101124
DEGEN2	SCIP	33283958	534	445	0.8820224719101124
DEGEN2	ojAlgo-LP	42003500	534	445	0.8820224719101124
DEGEN3	HiGHS	107380875	1818	1504	0.8712871287128713
DEGEN3	Hipparchus	113113498417	1818	1504	0.8712871287128713
DEGEN3	SCIP	462040500	1818	1504	0.8712871287128713
DEGEN3	ojAlgo-LP	3766771792	1818	1504	0.8712871287128713
E226	HiGHS	4790333	282	224	0.6702127659574468
E226	Hipparchus	37868375	282	224	0.6702127659574468
E226	SCIP	15443542	282	224	0.6702127659574468
E226	ojAlgo-LP	4662375	282	224	0.6702127659574468
ETAMACRO	HiGHS	8973041	688	401	0.11627906976744186
ETAMACRO	Hipparchus	428317666	688	401	0.11627906976744186
ETAMACRO	SCIP	18356834	688	401	0.11627906976744186
ETAMACRO	ojAlgo-LP	18097500	688	401	0.11627906976744186
FFFFF800	HiGHS	9882792	854	525	0.00936768149882904
FFFFF800	Hipparchus		854	525	0.00936768149882904
FFFFF800	SCIP	55294333	854	525	0.00936768149882904
FFFFF800	ojAlgo-LP	31361291	854	525	0.00936768149882904
FINNIS	HiGHS	4182917	614	498	0.6579804560260586
FINNIS	Hipparchus		614	498	0.6579804560260586
FINNIS	SCIP	9809041	614	498	0.6579804560260586
FINNIS	ojAlgo-LP	6823042	614	498	0.6579804560260586
FIT1D	HiGHS	9637667	1026	25	1.0
FIT1D	Hipparchus	1283016333	1026	25	1.0
FIT1D	SCIP	71064667	1026	25	1.0
FIT1D	ojAlgo-LP	10716292	1026	25	1.0
FIT1P	HiGHS	27857416	1677	628	0.6118067978533095
FIT1P	Hipparchus		1677	628	0.6118067978533095
FIT1P	SCIP	87774500	1677	628	0.6118067978533095
FIT1P	ojAlgo-LP	136900000	1677	628	0.6118067978533095
FORPLAN	HiGHS	6397541	421	162	0.838479809976247
FORPLAN	Hipparchus	88173750	421	162	0.838479809976247
FORPLAN	SCIP	15216791	421	162	0.838479809976247
FORPLAN	ojAlgo-LP	7625458	421	162	0.838479809976247
GANGES	HiGHS	11851500	1681	1310	0.06484235574063058
GANGES	Hipparchus		1681	1310	0.06484235574063058
GANGES	SCIP	29985583	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP	89733334	1681	1310	0.06484235574063058
GFRD-PNC	HiGHS	5801958	1092	617	0.9981684981684982
GFRD-PNC	Hipparchus	1592700292	1092	617	0.9981684981684982
GFRD-PNC	SCIP	11782417	1092	617	0.9981684981684982
GFRD-PNC	ojAlgo-LP	12482750	1092	617	0.9981684981684982
GREENBEA	HiGHS	137911667	5405	2393	0.1150786308973173
GREENBEA	Hipparchus		5405	2393	0.1150786308973173
GREENBEA	SCIP	1080883500	5405	2393	0.1150786308973173
GREENBEA	ojAlgo-LP		5405	2393	0.1150786308973173
GREENBEB	HiGHS	216357375	5405	2393	0.1150786308973173
GREENBEB	Hipparchus		5405	2393	0.1150786308973173
GREENBEB	SCIP	811467834	5405	2393	0.1150786308973173
GREENBEB	ojAlgo-LP	6656435291	5405	2393	0.1150786308973173
GROW15	HiGHS	22202416	645	301	0.06976744186046512
GROW15	Hipparchus		645	301	0.06976744186046512
GROW15	SCIP	42423542	645	301	0.06976744186046512
GROW15	ojAlgo-LP	11819625	645	301	0.06976744186046512
GROW22	HiGHS	45032458	946	441	0.06976744186046512
GROW22	Hipparchus		946	441	0.06976744186046512
GROW22	SCIP	96872042	946	441	0.06976744186046512
GROW22	ojAlgo-LP	30497166	946	441	0.06976744186046512
GROW7	HiGHS	5990958	301	141	0.06976744186046512
GROW7	Hipparchus		301	141	0.06976744186046512
GROW7	SCIP	20115917	301	141	0.06976744186046512
GROW7	ojAlgo-LP	1857667	301	141	0.06976744186046512
ISRAEL	HiGHS	3868375	142	175	0.6267605633802817
ISRAEL	Hipparchus	7023375	142	175	0.6267605633802817
ISRAEL	SCIP	7469959	142	175	0.6267605633802817
ISRAEL	ojAlgo-LP	2641417	142	175	0.6267605633802817
KB2	HiGHS	930250	41	44	0.12195121951219512
KB2	Hipparchus	999709	41	44	0.12195121951219512
KB2	SCIP	2206958	41	44	0.12195121951219512
KB2	ojAlgo-LP	72958	41	44	0.12195121951219512
KEN-07	HiGHS	19303583	3602	2427	0.99305941143809
KEN-07	Hipparchus	49009631917	3602	2427	0.99305941143809
KEN-07	SCIP	48069458	3602	2427	0.99305941143809
KEN-07	ojAlgo-LP	994820000	3602	2427	0.99305941143809
LOTFI	HiGHS	1910958	308	154	0.025974025974025976
LOTFI	Hipparchus	23718500	308	154	0.025974025974025976
LOTFI	SCIP	6672625	308	154	0.025974025974025976
LOTFI	ojAlgo-LP	1709167	308	154	0.025974025974025976
MAROS	HiGHS	23367750	1443	847	0.27165627165627165
MAROS	Hipparchus		1443	847	0.27165627165627165
MAROS	SCIP	50622667	1443	847	0.27165627165627165
MAROS	ojAlgo-LP	141739375	1443	847	0.27165627165627165
MAROS-R7	HiGHS	481197125	9408	3137	0.6666666666666666
MAROS-R7	Hipparchus		9408	3137	0.6666666666666666
MAROS-R7	SCIP	655602666	9408	3137	0.6666666666666666
MAROS-R7	ojAlgo-LP	6286749417	9408	3137	0.6666666666666666
MODSZK1	HiGHS	11048458	1620	688	0.6111111111111112
MODSZK1	Hipparchus		1620	688	0.6111111111111112
MODSZK1	SCIP	29336250	1620	688	0.6111111111111112
MODSZK1	ojAlgo-LP	291425042	1620	688	0.6111111111111112
NESM	HiGHS	119243292	2923	663	0.23947998631542936
NESM	Hipparchus	154080965709	2923	663	0.23947998631542936
NESM	SCIP	149580208	2923	663	0.23947998631542936
NESM	ojAlgo-LP	654351542	2923	663	0.23947998631542936
PDS-02	HiGHS	59367916	7535	2954	0.6452554744525547
PDS-02	Hipparchus	23515705042	7535	2954	0.6452554744525547
PDS-02	SCIP	121530583	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP	3057429959	7535	2954	0.6452554744525547
PEROLD	HiGHS	32797291	1376	626	0.005813953488372093
PEROLD	Hipparchus		1376	626	0.005813953488372093
PEROLD	SCIP	157256375	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP	564725792	1376	626	0.005813953488372093
PILOT	HiGHS	596336125	3652	1442	0.014512595837897043
PILOT	Hipparchus		3652	1442	0.014512595837897043
PILOT	SCIP	1506564166	3652	1442	0.014512595837897043
PILOT	ojAlgo-LP	8831653334	3652	1442	0.014512595837897043
PILOT-JA	HiGHS	56715375	1988	941	0.004024144869215292
PILOT-JA	Hipparchus		1988	941	0.004024144869215292
PILOT-JA	SCIP	135467000	1988	941	0.004024144869215292
PILOT-JA	ojAlgo-LP		1988	941	0.004024144869215292
PILOT-WE	HiGHS	84330500	2789	723	0.032986733596271064
PILOT-WE	Hipparchus		2789	723	0.032986733596271064
PILOT-WE	SCIP	205803792	2789	723	0.032986733596271064
