Model	Solver	Time	nbVars	nbExpr	density
25FV47	ojAlgo-LP-dual-D	659974041	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	782279667	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-prim-D	1897973750	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-prim-S	117095177583	1571	822	0.4627625716104392
80BAU3B	ojAlgo-LP-dual-D	5424869875	9799	2263	0.8226349627513011
80BAU3B	ojAlgo-LP-dual-S	2415561625	9799	2263	0.8226349627513011
80BAU3B	ojAlgo-LP-prim-D		9799	2263	0.8226349627513011
80BAU3B	ojAlgo-LP-prim-S		9799	2263	0.8226349627513011
ADLITTLE	ojAlgo-LP-dual-D	112333	97	57	0.845360824742268
ADLITTLE	ojAlgo-LP-dual-S	730916	97	57	0.845360824742268
ADLITTLE	ojAlgo-LP-prim-D	165625	97	57	0.845360824742268
ADLITTLE	ojAlgo-LP-prim-S	2429667	97	57	0.845360824742268
AFIRO	ojAlgo-LP-dual-D	15750	32	28	0.15625
AFIRO	ojAlgo-LP-dual-S	35292	32	28	0.15625
AFIRO	ojAlgo-LP-prim-D	17333	32	28	0.15625
AFIRO	ojAlgo-LP-prim-S	33083	32	28	0.15625
AGG	ojAlgo-LP-dual-D	901500	163	489	0.803680981595092
AGG	ojAlgo-LP-dual-S	3997959	163	489	0.803680981595092
AGG	ojAlgo-LP-prim-D	1699833	163	489	0.803680981595092
AGG	ojAlgo-LP-prim-S	5122042	163	489	0.803680981595092
AGG2	ojAlgo-LP-dual-D	1961667	302	517	0.7649006622516556
AGG2	ojAlgo-LP-dual-S	8212333	302	517	0.7649006622516556
AGG2	ojAlgo-LP-prim-D	3043292	302	517	0.7649006622516556
AGG2	ojAlgo-LP-prim-S	7370375	302	517	0.7649006622516556
AGG3	ojAlgo-LP-dual-D	1998208	302	517	0.7649006622516556
AGG3	ojAlgo-LP-dual-S	10469583	302	517	0.7649006622516556
AGG3	ojAlgo-LP-prim-D	3123041	302	517	0.7649006622516556
AGG3	ojAlgo-LP-prim-S	10851958	302	517	0.7649006622516556
BANDM	ojAlgo-LP-dual-D	9600333	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	23110458	472	306	0.3495762711864407
BANDM	ojAlgo-LP-prim-D	15362583	472	306	0.3495762711864407
BANDM	ojAlgo-LP-prim-S	387889041	472	306	0.3495762711864407
BEACONFD	ojAlgo-LP-dual-D	609583	262	174	0.38549618320610685
BEACONFD	ojAlgo-LP-dual-S	1700833	262	174	0.38549618320610685
BEACONFD	ojAlgo-LP-prim-D	667375	262	174	0.38549618320610685
BEACONFD	ojAlgo-LP-prim-S	1610792	262	174	0.38549618320610685
BLEND	ojAlgo-LP-dual-D	211500	83	75	0.3614457831325301
BLEND	ojAlgo-LP-dual-S	1217458	83	75	0.3614457831325301
BLEND	ojAlgo-LP-prim-D	189750	83	75	0.3614457831325301
BLEND	ojAlgo-LP-prim-S	4033209	83	75	0.3614457831325301
BNL1	ojAlgo-LP-dual-D	111685083	1175	644	0.857872340425532
BNL1	ojAlgo-LP-dual-S	176465875	1175	644	0.857872340425532
BNL1	ojAlgo-LP-prim-D	467990375	1175	644	0.857872340425532
BNL1	ojAlgo-LP-prim-S	20011287500	1175	644	0.857872340425532
BNL2	ojAlgo-LP-dual-D	2424873917	3489	2325	0.6090570364001147
BNL2	ojAlgo-LP-dual-S	2138162167	3489	2325	0.6090570364001147
BNL2	ojAlgo-LP-prim-D	9836422250	3489	2325	0.6090570364001147
BNL2	ojAlgo-LP-prim-S		3489	2325	0.6090570364001147
BOEING1	ojAlgo-LP-dual-D	10694500	384	352	0.9895833333333334
BOEING1	ojAlgo-LP-dual-S	26415042	384	352	0.9895833333333334
BOEING1	ojAlgo-LP-prim-D	55426667	384	352	0.9895833333333334
BOEING1	ojAlgo-LP-prim-S	1689007083	384	352	0.9895833333333334
BOEING2	ojAlgo-LP-dual-D	801791	143	167	1.0
BOEING2	ojAlgo-LP-dual-S	3652709	143	167	1.0
BOEING2	ojAlgo-LP-prim-D	2695625	143	167	1.0
BOEING2	ojAlgo-LP-prim-S	45173042	143	167	1.0
BORE3D	ojAlgo-LP-dual-D	713417	315	234	0.3047619047619048
BORE3D	ojAlgo-LP-dual-S	3181375	315	234	0.3047619047619048
BORE3D	ojAlgo-LP-prim-D	1081375	315	234	0.3047619047619048
BORE3D	ojAlgo-LP-prim-S	8094834	315	234	0.3047619047619048
BRANDY	ojAlgo-LP-dual-D	2709417	249	221	0.008032128514056224
BRANDY	ojAlgo-LP-dual-S	8511541	249	221	0.008032128514056224
BRANDY	ojAlgo-LP-prim-D	4253833	249	221	0.008032128514056224
BRANDY	ojAlgo-LP-prim-S	95769083	249	221	0.008032128514056224
CAPRI	ojAlgo-LP-dual-D	2143792	353	272	0.053824362606232294
CAPRI	ojAlgo-LP-dual-S	11045291	353	272	0.053824362606232294
CAPRI	ojAlgo-LP-prim-D	18612959	353	272	0.053824362606232294
CAPRI	ojAlgo-LP-prim-S	464091917	353	272	0.053824362606232294
CRE-A	ojAlgo-LP-dual-D	481051416	4067	3517	1.0
CRE-A	ojAlgo-LP-dual-S	1728962875	4067	3517	1.0
CRE-A	ojAlgo-LP-prim-D	8781281417	4067	3517	1.0
CRE-A	ojAlgo-LP-prim-S		4067	3517	1.0
CRE-C	ojAlgo-LP-dual-D	279991875	3678	3069	1.0
CRE-C	ojAlgo-LP-dual-S	869293375	3678	3069	1.0
CRE-C	ojAlgo-LP-prim-D	5983049167	3678	3069	1.0
CRE-C	ojAlgo-LP-prim-S		3678	3069	1.0
CYCLE	ojAlgo-LP-dual-D	1643285542	2857	1904	0.21071053552677635
CYCLE	ojAlgo-LP-dual-S	1051571083	2857	1904	0.21071053552677635
CYCLE	ojAlgo-LP-prim-D		2857	1904	0.21071053552677635
CYCLE	ojAlgo-LP-prim-S		2857	1904	0.21071053552677635
CZPROB	ojAlgo-LP-dual-D	49612334	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	131364541	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-prim-D	64104875	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-prim-S	1356775166	3523	930	0.9946068691456146
D2Q06C	ojAlgo-LP-dual-D	17152924583	5167	2172	0.6303464292626282
D2Q06C	ojAlgo-LP-dual-S		5167	2172	0.6303464292626282
D2Q06C	ojAlgo-LP-prim-D	98906441333	5167	2172	0.6303464292626282
D2Q06C	ojAlgo-LP-prim-S		5167	2172	0.6303464292626282
D6CUBE	ojAlgo-LP-dual-D	241839500	6184	416	1.0
D6CUBE	ojAlgo-LP-dual-S	219978875	6184	416	1.0
D6CUBE	ojAlgo-LP-prim-D		6184	416	1.0
D6CUBE	ojAlgo-LP-prim-S		6184	416	1.0
DEGEN2	ojAlgo-LP-dual-D	35131916	534	445	0.8820224719101124
DEGEN2	ojAlgo-LP-dual-S	83149417	534	445	0.8820224719101124
DEGEN2	ojAlgo-LP-prim-D	125446584	534	445	0.8820224719101124
DEGEN2	ojAlgo-LP-prim-S	5942500542	534	445	0.8820224719101124
DEGEN3	ojAlgo-LP-dual-D	1871851834	1818	1504	0.8712871287128713
DEGEN3	ojAlgo-LP-dual-S	2530758208	1818	1504	0.8712871287128713
DEGEN3	ojAlgo-LP-prim-D	8377977667	1818	1504	0.8712871287128713
DEGEN3	ojAlgo-LP-prim-S		1818	1504	0.8712871287128713
E226	ojAlgo-LP-dual-D	4140167	282	224	0.6702127659574468
E226	ojAlgo-LP-dual-S	12812042	282	224	0.6702127659574468
E226	ojAlgo-LP-prim-D	6914000	282	224	0.6702127659574468
E226	ojAlgo-LP-prim-S	187414625	282	224	0.6702127659574468
ETAMACRO	ojAlgo-LP-dual-D	16363958	688	401	0.11627906976744186
ETAMACRO	ojAlgo-LP-dual-S	29624750	688	401	0.11627906976744186
ETAMACRO	ojAlgo-LP-prim-D	18017375	688	401	0.11627906976744186
ETAMACRO	ojAlgo-LP-prim-S	309443250	688	401	0.11627906976744186
FFFFF800	ojAlgo-LP-dual-D	27203666	854	525	0.00936768149882904
FFFFF800	ojAlgo-LP-dual-S	50209375	854	525	0.00936768149882904
FFFFF800	ojAlgo-LP-prim-D	34161292	854	525	0.00936768149882904
FFFFF800	ojAlgo-LP-prim-S	381965542	854	525	0.00936768149882904
FINNIS	ojAlgo-LP-dual-D	7213791	614	498	0.6579804560260586
FINNIS	ojAlgo-LP-dual-S	31217959	614	498	0.6579804560260586
FINNIS	ojAlgo-LP-prim-D		614	498	0.6579804560260586
FINNIS	ojAlgo-LP-prim-S		614	498	0.6579804560260586
FIT1D	ojAlgo-LP-dual-D	6784333	1026	25	1.0
FIT1D	ojAlgo-LP-dual-S	7717000	1026	25	1.0
FIT1D	ojAlgo-LP-prim-D	44797583	1026	25	1.0
FIT1D	ojAlgo-LP-prim-S	1047098292	1026	25	1.0
FIT1P	ojAlgo-LP-dual-D	247174791	1677	628	0.6118067978533095
FIT1P	ojAlgo-LP-dual-S	115225041	1677	628	0.6118067978533095
FIT1P	ojAlgo-LP-prim-D	1020009917	1677	628	0.6118067978533095
FIT1P	ojAlgo-LP-prim-S	58306659334	1677	628	0.6118067978533095
FORPLAN	ojAlgo-LP-dual-D	5073333	421	162	0.838479809976247
FORPLAN	ojAlgo-LP-dual-S	7645750	421	162	0.838479809976247
FORPLAN	ojAlgo-LP-prim-D	3780500	421	162	0.838479809976247
FORPLAN	ojAlgo-LP-prim-S	92683542	421	162	0.838479809976247
GANGES	ojAlgo-LP-dual-D	58573334	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	148765000	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-prim-D	75353583	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-prim-S	249968041	1681	1310	0.06484235574063058
GFRD-PNC	ojAlgo-LP-dual-D	10588500	1092	617	0.9981684981684982
GFRD-PNC	ojAlgo-LP-dual-S	51256666	1092	617	0.9981684981684982
GFRD-PNC	ojAlgo-LP-prim-D	27516083	1092	617	0.9981684981684982
GFRD-PNC	ojAlgo-LP-prim-S	200243375	1092	617	0.9981684981684982
GREENBEA	ojAlgo-LP-dual-D		5405	2393	0.1150786308973173
GREENBEA	ojAlgo-LP-dual-S	4926309167	5405	2393	0.1150786308973173
GREENBEA	ojAlgo-LP-prim-D		5405	2393	0.1150786308973173
GREENBEA	ojAlgo-LP-prim-S		5405	2393	0.1150786308973173
GREENBEB	ojAlgo-LP-dual-D	6960779250	5405	2393	0.1150786308973173
GREENBEB	ojAlgo-LP-dual-S		5405	2393	0.1150786308973173
GREENBEB	ojAlgo-LP-prim-D	18436515000	5405	2393	0.1150786308973173
GREENBEB	ojAlgo-LP-prim-S		5405	2393	0.1150786308973173
GROW15	ojAlgo-LP-dual-D	11924750	645	301	0.06976744186046512
GROW15	ojAlgo-LP-dual-S	19924708	645	301	0.06976744186046512
GROW15	ojAlgo-LP-prim-D	156846708	645	301	0.06976744186046512
GROW15	ojAlgo-LP-prim-S	5596221750	645	301	0.06976744186046512
GROW22	ojAlgo-LP-dual-D	22712250	946	441	0.06976744186046512
GROW22	ojAlgo-LP-dual-S	56690250	946	441	0.06976744186046512
GROW22	ojAlgo-LP-prim-D		946	441	0.06976744186046512
GROW22	ojAlgo-LP-prim-S		946	441	0.06976744186046512
GROW7	ojAlgo-LP-dual-D	1355209	301	141	0.06976744186046512
GROW7	ojAlgo-LP-dual-S	3924084	301	141	0.06976744186046512
GROW7	ojAlgo-LP-prim-D	7194750	301	141	0.06976744186046512
GROW7	ojAlgo-LP-prim-S	167828166	301	141	0.06976744186046512
ISRAEL	ojAlgo-LP-dual-D	1157209	142	175	0.6267605633802817
ISRAEL	ojAlgo-LP-dual-S	3715708	142	175	0.6267605633802817
ISRAEL	ojAlgo-LP-prim-D	2551417	142	175	0.6267605633802817
ISRAEL	ojAlgo-LP-prim-S	50530792	142	175	0.6267605633802817
KB2	ojAlgo-LP-dual-D	71500	41	44	0.12195121951219512
KB2	ojAlgo-LP-dual-S	170417	41	44	0.12195121951219512
KB2	ojAlgo-LP-prim-D	162291	41	44	0.12195121951219512
KB2	ojAlgo-LP-prim-S	4020250	41	44	0.12195121951219512
KEN-07	ojAlgo-LP-dual-D	642359625	3602	2427	0.99305941143809
KEN-07	ojAlgo-LP-dual-S	807336084	3602	2427	0.99305941143809
KEN-07	ojAlgo-LP-prim-D	735459958	3602	2427	0.99305941143809
KEN-07	ojAlgo-LP-prim-S	16916136125	3602	2427	0.99305941143809
LOTFI	ojAlgo-LP-dual-D	827125	308	154	0.025974025974025976
LOTFI	ojAlgo-LP-dual-S	3307708	308	154	0.025974025974025976
LOTFI	ojAlgo-LP-prim-D	645334	308	154	0.025974025974025976
LOTFI	ojAlgo-LP-prim-S	5562834	308	154	0.025974025974025976
MAROS	ojAlgo-LP-dual-D	117095458	1443	847	0.27165627165627165
MAROS	ojAlgo-LP-dual-S	158676000	1443	847	0.27165627165627165
MAROS	ojAlgo-LP-prim-D		1443	847	0.27165627165627165
MAROS	ojAlgo-LP-prim-S		1443	847	0.27165627165627165
MAROS-R7	ojAlgo-LP-dual-D	11997802458	9408	3137	0.6666666666666666
MAROS-R7	ojAlgo-LP-dual-S	4715441959	9408	3137	0.6666666666666666
MAROS-R7	ojAlgo-LP-prim-D	8727784833	9408	3137	0.6666666666666666
MAROS-R7	ojAlgo-LP-prim-S		9408	3137	0.6666666666666666
MODSZK1	ojAlgo-LP-dual-D	260894083	1620	688	0.6111111111111112
MODSZK1	ojAlgo-LP-dual-S	237630125	1620	688	0.6111111111111112
MODSZK1	ojAlgo-LP-prim-D	201930750	1620	688	0.6111111111111112
MODSZK1	ojAlgo-LP-prim-S	8508290792	1620	688	0.6111111111111112
NESM	ojAlgo-LP-dual-D	466468083	2923	663	0.23947998631542936
NESM	ojAlgo-LP-dual-S	579274583	2923	663	0.23947998631542936
NESM	ojAlgo-LP-prim-D		2923	663	0.23947998631542936
NESM	ojAlgo-LP-prim-S		2923	663	0.23947998631542936
PDS-02	ojAlgo-LP-dual-D	2151226250	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	2077677083	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-prim-D	300947500	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-prim-S	815157375	7535	2954	0.6452554744525547
PEROLD	ojAlgo-LP-dual-D	497250667	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	663126500	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-prim-D		1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-prim-S		1376	626	0.005813953488372093
PILOT	ojAlgo-LP-dual-D	8253071584	3652	1442	0.014512595837897043
PILOT	ojAlgo-LP-dual-S		3652	1442	0.014512595837897043
PILOT	ojAlgo-LP-prim-D	100956124167	3652	1442	0.014512595837897043
PILOT	ojAlgo-LP-prim-S		3652	1442	0.014512595837897043
PILOT-JA	ojAlgo-LP-dual-D	3484822583	1988	941	0.004024144869215292
PILOT-JA	ojAlgo-LP-dual-S		1988	941	0.004024144869215292
PILOT-JA	ojAlgo-LP-prim-D		1988	941	0.004024144869215292
PILOT-JA	ojAlgo-LP-prim-S		1988	941	0.004024144869215292
PILOT-WE	ojAlgo-LP-dual-D	1557070708	2789	723	0.032986733596271064
PILOT-WE	ojAlgo-LP-dual-S	1200191959	2789	723	0.032986733596271064
PILOT-WE	ojAlgo-LP-prim-D		2789	723	0.032986733596271064
PILOT-WE	ojAlgo-LP-prim-S		2789	723	0.032986733596271064
PILOT4	ojAlgo-LP-dual-D	144207917	1000	411	0.004
PILOT4	ojAlgo-LP-dual-S	214580125	1000	411	0.004
PILOT4	ojAlgo-LP-prim-D	355301083	1000	411	0.004
PILOT4	ojAlgo-LP-prim-S	16473249250	1000	411	0.004
PILOT87	ojAlgo-LP-dual-D	28144098000	4883	2031	0.13352447266024986
PILOT87	ojAlgo-LP-dual-S		4883	2031	0.13352447266024986
PILOT87	ojAlgo-LP-prim-D		4883	2031	0.13352447266024986
PILOT87	ojAlgo-LP-prim-S		4883	2031	0.13352447266024986
PILOTNOV	ojAlgo-LP-dual-D	665448042	2172	976	0.03314917127071823
PILOTNOV	ojAlgo-LP-dual-S	988373459	2172	976	0.03314917127071823
PILOTNOV	ojAlgo-LP-prim-D		2172	976	0.03314917127071823
PILOTNOV	ojAlgo-LP-prim-S		2172	976	0.03314917127071823
QAP12	ojAlgo-LP-dual-D		0	0	NaN
QAP12	ojAlgo-LP-dual-S		0	0	NaN
QAP12	ojAlgo-LP-prim-D		0	0	NaN
QAP12	ojAlgo-LP-prim-S		0	0	NaN
QAP8	ojAlgo-LP-dual-D	1780443125	1632	913	0.6176470588235294
QAP8	ojAlgo-LP-dual-S	2851245584	1632	913	0.6176470588235294
QAP8	ojAlgo-LP-prim-D		1632	913	0.6176470588235294
QAP8	ojAlgo-LP-prim-S		1632	913	0.6176470588235294
RECIPELP	ojAlgo-LP-dual-D	83625	180	92	0.49444444444444446
RECIPELP	ojAlgo-LP-dual-S	417458	180	92	0.49444444444444446
RECIPELP	ojAlgo-LP-prim-D	238333	180	92	0.49444444444444446
RECIPELP	ojAlgo-LP-prim-S	988500	180	92	0.49444444444444446
SC105	ojAlgo-LP-dual-D	266833	103	106	0.009708737864077669
SC105	ojAlgo-LP-dual-S	1022750	103	106	0.009708737864077669
SC105	ojAlgo-LP-prim-D	213333	103	106	0.009708737864077669
SC105	ojAlgo-LP-prim-S	3884792	103	106	0.009708737864077669
SC205	ojAlgo-LP-dual-D	2061125	203	206	0.0049261083743842365
SC205	ojAlgo-LP-dual-S	5745542	203	206	0.0049261083743842365
SC205	ojAlgo-LP-prim-D	1567292	203	206	0.0049261083743842365
SC205	ojAlgo-LP-prim-S	34677917	203	206	0.0049261083743842365
SC50A	ojAlgo-LP-dual-D	48375	48	51	0.020833333333333332
SC50A	ojAlgo-LP-dual-S	190000	48	51	0.020833333333333332
SC50A	ojAlgo-LP-prim-D	39625	48	51	0.020833333333333332
SC50A	ojAlgo-LP-prim-S	382625	48	51	0.020833333333333332
SC50B	ojAlgo-LP-dual-D	53833	48	51	0.020833333333333332
SC50B	ojAlgo-LP-dual-S	221958	48	51	0.020833333333333332
SC50B	ojAlgo-LP-prim-D	43709	48	51	0.020833333333333332
SC50B	ojAlgo-LP-prim-S	534250	48	51	0.020833333333333332
SCAGR25	ojAlgo-LP-dual-D	14595000	500	472	0.95
SCAGR25	ojAlgo-LP-dual-S	56768416	500	472	0.95
SCAGR25	ojAlgo-LP-prim-D	48417792	500	472	0.95
SCAGR25	ojAlgo-LP-prim-S	1385798792	500	472	0.95
SCAGR7	ojAlgo-LP-dual-D	295542	140	130	0.95
SCAGR7	ojAlgo-LP-dual-S	2130417	140	130	0.95
SCAGR7	ojAlgo-LP-prim-D	822833	140	130	0.95
SCAGR7	ojAlgo-LP-prim-S	12881625	140	130	0.95
SCFXM1	ojAlgo-LP-dual-D	5705625	457	331	0.05032822757111598
