Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	100969042	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1578330958	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	3185343458	1571	822	0.4627625716104392
BANDM	ORTools	6231750	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19261958	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	55548833	472	306	0.3495762711864407
CZPROB	ORTools	25397959	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	107143250	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	371173708	3523	930	0.9946068691456146
GANGES	ORTools	13570834	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	103865083	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	727432042	1681	1310	0.06484235574063058
PDS-02	ORTools	41280625	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	442734041	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6542283334	7535	2954	0.6452554744525547
PEROLD	ORTools	52558542	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	593983541	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	6443429291	1376	626	0.005813953488372093
SCSD8	ORTools	24971209	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	243462417	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	290062292	2750	398	1.0
