Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	101885000	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1603374542	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S		1571	822	0.4627625716104392
BANDM	ORTools	6212458	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	20011333	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	89893792	472	306	0.3495762711864407
CZPROB	ORTools	26130042	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	115409250	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	384350083	3523	930	0.9946068691456146
GANGES	ORTools	13508750	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	112970375	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	868597375	1681	1310	0.06484235574063058
PDS-02	ORTools	43387500	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	506287209	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6046346084	7535	2954	0.6452554744525547
PEROLD	ORTools	52011416	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	604069875	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S		1376	626	0.005813953488372093
SCSD8	ORTools	25242208	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	248614209	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	376113917	2750	398	1.0
