Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	100949833	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1580405958	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S		1571	822	0.4627625716104392
BANDM	ORTools	6185000	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19534042	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	89475917	472	306	0.3495762711864407
CZPROB	ORTools	25462291	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	109574125	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	378587792	3523	930	0.9946068691456146
GANGES	ORTools	13580291	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	105798000	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	863199458	1681	1310	0.06484235574063058
PDS-02	ORTools	42138500	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	465735834	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	5983573959	7535	2954	0.6452554744525547
PEROLD	ORTools	51916125	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	596794167	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S		1376	626	0.005813953488372093
SCSD8	ORTools	25152625	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	243356167	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	374668959	2750	398	1.0
