Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	101071500	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1596710583	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	2843879292	1571	822	0.4627625716104392
BANDM	ORTools	6231542	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19358458	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	46494208	472	306	0.3495762711864407
CZPROB	ORTools	25886750	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	107389459	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	409695083	3523	930	0.9946068691456146
GANGES	ORTools	13630125	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	105213666	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	746656208	1681	1310	0.06484235574063058
PDS-02	ORTools	41181375	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	454224958	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6641727042	7535	2954	0.6452554744525547
PEROLD	ORTools	51972416	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	593413167	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	4443883750	1376	626	0.005813953488372093
SCSD8	ORTools	25131375	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	243105542	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	144538458	2750	398	1.0
