Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	101281834	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1594148333	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	3117417375	1571	822	0.4627625716104392
BANDM	ORTools	6329833	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19811292	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	56831584	472	306	0.3495762711864407
CZPROB	ORTools	25315750	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	112893042	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	343927250	3523	930	0.9946068691456146
GANGES	ORTools	13588625	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	106730083	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	760548291	1681	1310	0.06484235574063058
PDS-02	ORTools	41594166	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	473014625	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6194917833	7535	2954	0.6452554744525547
PEROLD	ORTools	52074250	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	597796917	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	5466509917	1376	626	0.005813953488372093
SCSD8	ORTools	25218375	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	244365417	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	183296709	2750	398	1.0
