Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	101363958	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1584438875	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	3079957250	1571	822	0.4627625716104392
BANDM	ORTools	6388459	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19501708	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	61429417	472	306	0.3495762711864407
CZPROB	ORTools	25976292	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	108724250	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	314804416	3523	930	0.9946068691456146
GANGES	ORTools	13779916	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	103223708	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	627829750	1681	1310	0.06484235574063058
PDS-02	ORTools	43353875	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	466724166	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	4626110000	7535	2954	0.6452554744525547
PEROLD	ORTools	52830709	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	593431500	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	2937293041	1376	626	0.005813953488372093
SCSD8	ORTools	25316625	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	242655834	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	312511375	2750	398	1.0
