Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	100761959	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1585718041	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	3386879875	1571	822	0.4627625716104392
BANDM	ORTools	6156125	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19602125	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	59446334	472	306	0.3495762711864407
CZPROB	ORTools	24752167	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	107987834	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	346659334	3523	930	0.9946068691456146
GANGES	ORTools	13583625	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	103267500	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	732733833	1681	1310	0.06484235574063058
PDS-02	ORTools	42221583	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	458601875	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	5742798042	7535	2954	0.6452554744525547
PEROLD	ORTools	51848750	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	594340125	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	3458041250	1376	626	0.005813953488372093
SCSD8	ORTools	24931792	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	242800083	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	177160375	2750	398	1.0
