Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	100759375	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1586610458	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	6719645250	1571	822	0.4627625716104392
BANDM	ORTools	6151083	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19386209	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	66069917	472	306	0.3495762711864407
CZPROB	ORTools	25667584	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	109305208	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	396687375	3523	930	0.9946068691456146
GANGES	ORTools	13922709	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	104202000	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	979416625	1681	1310	0.06484235574063058
PDS-02	ORTools	41312042	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	477865250	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6680225666	7535	2954	0.6452554744525547
PEROLD	ORTools	51580917	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	594170458	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	4688991875	1376	626	0.005813953488372093
SCSD8	ORTools	24833959	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	243095000	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	239274459	2750	398	1.0
