Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	101346459	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1594193125	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	2039990667	1571	822	0.4627625716104392
BANDM	ORTools	6285583	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	20037375	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	45128917	472	306	0.3495762711864407
CZPROB	ORTools	25964458	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	112052125	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	392396208	3523	930	0.9946068691456146
GANGES	ORTools	13918958	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	112361417	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	830358250	1681	1310	0.06484235574063058
PDS-02	ORTools	42394917	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	470122167	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6046587042	7535	2954	0.6452554744525547
PEROLD	ORTools	52050500	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	600910375	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	3304329958	1376	626	0.005813953488372093
SCSD8	ORTools	25335083	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	243528667	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	149675209	2750	398	1.0
