Model	Solver	Time	nbVars	nbExpr	density
b-ball	CPLEX	2138125	100	31	0.01
b-ball	HiGHS	81802791	100	31	0.01
b-ball	OR-Tools		100	31	0.01
bm23	CPLEX	25979458	27	21	1.0
bm23	HiGHS	80440625	27	21	1.0
bm23	OR-Tools	107275917	27	21	1.0
ej	CPLEX		3	2	0.3333333333333333
ej	HiGHS		3	2	0.3333333333333333
ej	OR-Tools	15094325916	3	2	0.3333333333333333
enigma	CPLEX	7941021417	100	22	0.09
enigma	HiGHS	97273708	100	22	0.09
enigma	OR-Tools	98460458	100	22	0.09
flugpl	CPLEX	6858166	18	19	1.0
flugpl	HiGHS	43561917	18	19	1.0
flugpl	OR-Tools	28284125	18	19	1.0
gen-ip002	CPLEX		41	25	1.0
gen-ip002	HiGHS		41	25	1.0
gen-ip002	OR-Tools		41	25	1.0
gen-ip016	CPLEX		0	0	NaN
gen-ip016	HiGHS		0	0	NaN
gen-ip016	OR-Tools		0	0	NaN
gen-ip021	CPLEX	27124279958	35	29	1.0
gen-ip021	HiGHS		35	29	1.0
gen-ip021	OR-Tools		35	29	1.0
gen-ip036	CPLEX		29	47	1.0
gen-ip036	HiGHS		29	47	1.0
gen-ip036	OR-Tools		29	47	1.0
gen-ip054	CPLEX		0	0	NaN
gen-ip054	HiGHS		0	0	NaN
gen-ip054	OR-Tools		0	0	NaN
gr4x6	CPLEX	28889625	48	35	1.0
gr4x6	HiGHS	7395709	48	35	1.0
gr4x6	OR-Tools	2812208	48	35	1.0
lseu	CPLEX	14974006041	89	29	0.9550561797752809
lseu	HiGHS	108045208	89	29	0.9550561797752809
lseu	OR-Tools	268066167	89	29	0.9550561797752809
markshare1	CPLEX		0	0	NaN
markshare1	HiGHS		0	0	NaN
markshare1	OR-Tools		0	0	NaN
markshare2	CPLEX		0	0	NaN
markshare2	HiGHS		0	0	NaN
markshare2	OR-Tools		0	0	NaN
markshare_4_0	CPLEX	1639530458	34	5	0.11764705882352941
markshare_4_0	HiGHS		34	5	0.11764705882352941
markshare_4_0	OR-Tools	58115208042	34	5	0.11764705882352941
markshare_5_0	CPLEX	2847454125	45	6	0.1111111111111111
markshare_5_0	HiGHS		45	6	0.1111111111111111
markshare_5_0	OR-Tools		45	6	0.1111111111111111
misc01	CPLEX	87354417	83	55	0.012048192771084338
misc01	HiGHS	121808250	83	55	0.012048192771084338
misc01	OR-Tools	242378625	83	55	0.012048192771084338
misc02	CPLEX	168306083	59	40	0.01694915254237288
misc02	HiGHS	23667042	59	40	0.01694915254237288
misc02	OR-Tools	144404833	59	40	0.01694915254237288
mod013	CPLEX	23900291	96	63	1.0
mod013	HiGHS	127876125	96	63	1.0
mod013	OR-Tools	449414208	96	63	1.0
neos5	CPLEX	8075372417	63	64	1.0
neos5	HiGHS		63	64	1.0
neos5	OR-Tools		63	64	1.0
p0033	CPLEX	1078515083	33	17	1.0
p0033	HiGHS	6001500	33	17	1.0
p0033	OR-Tools	6125500	33	17	1.0
p0040	CPLEX	1906708	40	24	1.0
p0040	HiGHS	2575708	40	24	1.0
p0040	OR-Tools	1367750	40	24	1.0
pipex	CPLEX	26089375	48	26	1.0
pipex	HiGHS	71108250	48	26	1.0
pipex	OR-Tools	49120375	48	26	1.0
pk1	CPLEX	3053667208	86	46	0.011627906976744186
pk1	HiGHS	191086251667	86	46	0.011627906976744186
pk1	OR-Tools	43434867333	86	46	0.011627906976744186
sample2	CPLEX	13698041	67	46	0.4925373134328358
sample2	HiGHS	10268834	67	46	0.4925373134328358
sample2	OR-Tools	2033333	67	46	0.4925373134328358
sentoy	CPLEX	147673667	60	31	1.0
sentoy	HiGHS	282091291	60	31	1.0
sentoy	OR-Tools	159805084	60	31	1.0
stein15	CPLEX	13628166	15	37	1.0
stein15	HiGHS	18674500	15	37	1.0
stein15	OR-Tools	16488167	15	37	1.0
stein9	CPLEX	84474542	9	14	1.0
stein9	HiGHS	8082708	9	14	1.0
stein9	OR-Tools	4751292	9	14	1.0
