Model	Solver	Time	nbVars	nbExpr	density
22433	CPLEX	112132792	429	199	0.002331002331002331
22433	HiGHS	1973973917	429	199	0.002331002331002331
22433	OR-Tools	768829708	429	199	0.002331002331002331
23588	CPLEX	54967916	368	138	0.002717391304347826
23588	HiGHS	4105419500	368	138	0.002717391304347826
23588	OR-Tools	1547552250	368	138	0.002717391304347826
aflow30a	CPLEX	876849958	842	480	0.5
aflow30a	HiGHS	5460038708	842	480	0.5
aflow30a	OR-Tools	14891345709	842	480	0.5
air01	CPLEX	135724042	771	24	1.0
air01	HiGHS	52505917	771	24	1.0
air01	OR-Tools	36774875	771	24	1.0
assign1-5-8	CPLEX		0	0	NaN
assign1-5-8	HiGHS		0	0	NaN
assign1-5-8	OR-Tools		0	0	NaN
b-ball	CPLEX	2058042	100	31	0.01
b-ball	HiGHS	83659667	100	31	0.01
b-ball	OR-Tools		100	31	0.01
beavma	CPLEX	63848416	390	373	0.882051282051282
beavma	HiGHS	70289750	390	373	0.882051282051282
beavma	OR-Tools	240848042	390	373	0.882051282051282
bell3a	CPLEX	141424791	133	124	0.706766917293233
bell3a	HiGHS	226816000	133	124	0.706766917293233
bell3a	OR-Tools	588309917	133	124	0.706766917293233
bell3b	CPLEX	490489542	133	124	0.706766917293233
bell3b	HiGHS	313636208	133	124	0.706766917293233
bell3b	OR-Tools	1739639208	133	124	0.706766917293233
bell4	CPLEX	470396500	117	106	0.7094017094017094
bell4	HiGHS	858214666	117	106	0.7094017094017094
bell4	OR-Tools	393340000	117	106	0.7094017094017094
bell5	CPLEX	1820776791	104	92	0.7115384615384616
bell5	HiGHS	673523291	104	92	0.7115384615384616
bell5	OR-Tools	143217125	104	92	0.7115384615384616
bienst1	CPLEX	1333585208	505	577	0.0019801980198019802
bienst1	HiGHS	17640113375	505	577	0.0019801980198019802
bienst1	OR-Tools	78412342875	505	577	0.0019801980198019802
bienst2	CPLEX	6090133583	505	577	0.0019801980198019802
bienst2	HiGHS		505	577	0.0019801980198019802
bienst2	OR-Tools		505	577	0.0019801980198019802
blend2	CPLEX	2245712500	353	275	0.24929178470254956
blend2	HiGHS	1663045584	353	275	0.24929178470254956
blend2	OR-Tools	689456750	353	275	0.24929178470254956
bm23	CPLEX	112665167	27	21	1.0
bm23	HiGHS	60648292	27	21	1.0
bm23	OR-Tools	150429042	27	21	1.0
bppc8-02	CPLEX	12580066500	232	60	0.008620689655172414
bppc8-02	HiGHS	157039834	232	60	0.008620689655172414
bppc8-02	OR-Tools	153810917	232	60	0.008620689655172414
bppc8-09	CPLEX	1528912625	431	68	0.004640371229698376
bppc8-09	HiGHS		431	68	0.004640371229698376
bppc8-09	OR-Tools		431	68	0.004640371229698376
breastcancer-regularized	CPLEX		715	724	0.9804195804195804
breastcancer-regularized	HiGHS		715	724	0.9804195804195804
breastcancer-regularized	OR-Tools		715	724	0.9804195804195804
control30-3-2-3	CPLEX		0	0	NaN
control30-3-2-3	HiGHS		0	0	NaN
control30-3-2-3	OR-Tools		0	0	NaN
