Model	Solver	Time	nbVars	nbExpr	density
22433	HiGHS	1755492959	429	199	0.002331002331002331
22433	SCIP	742863625	429	199	0.002331002331002331
22433	SSC-LP		429	199	0.002331002331002331
22433	ojAlgo-MIP		429	199	0.002331002331002331
23588	HiGHS	4015653875	368	138	0.002717391304347826
23588	SCIP	2074031542	368	138	0.002717391304347826
23588	SSC-LP		368	138	0.002717391304347826
23588	ojAlgo-MIP	133915708	368	138	0.002717391304347826
aflow30a	HiGHS	6199885500	842	480	0.5
aflow30a	SCIP	12222077292	842	480	0.5
aflow30a	SSC-LP		842	480	0.5
aflow30a	ojAlgo-MIP		842	480	0.5
air01	HiGHS	48675459	771	24	1.0
air01	SCIP	41410709	771	24	1.0
air01	SSC-LP	479325833	771	24	1.0
air01	ojAlgo-MIP	4918584	771	24	1.0
beavma	HiGHS	690683125	390	373	0.882051282051282
beavma	SCIP	298457125	390	373	0.882051282051282
beavma	SSC-LP		390	373	0.882051282051282
beavma	ojAlgo-MIP		390	373	0.882051282051282
bell3a	HiGHS	133599666	133	124	0.706766917293233
bell3a	SCIP	601969334	133	124	0.706766917293233
bell3a	SSC-LP		133	124	0.706766917293233
bell3a	ojAlgo-MIP	191870250	133	124	0.706766917293233
bell3b	HiGHS	427416167	133	124	0.706766917293233
bell3b	SCIP	1625909417	133	124	0.706766917293233
bell3b	SSC-LP		133	124	0.706766917293233
bell3b	ojAlgo-MIP	146006667	133	124	0.706766917293233
bell4	HiGHS	359820208	117	106	0.7094017094017094
bell4	SCIP	917095541	117	106	0.7094017094017094
bell4	SSC-LP		117	106	0.7094017094017094
bell4	ojAlgo-MIP		117	106	0.7094017094017094
bell5	HiGHS	218315750	104	92	0.7115384615384616
bell5	SCIP	87510417	104	92	0.7115384615384616
bell5	SSC-LP		104	92	0.7115384615384616
bell5	ojAlgo-MIP	2492062250	104	92	0.7115384615384616
bienst1	HiGHS	24923315208	505	577	0.0019801980198019802
bienst1	SCIP	47895880333	505	577	0.0019801980198019802
bienst1	SSC-LP		505	577	0.0019801980198019802
bienst1	ojAlgo-MIP	50034614375	505	577	0.0019801980198019802
blend2	HiGHS	728287208	353	275	0.24929178470254956
blend2	SCIP	510818500	353	275	0.24929178470254956
blend2	SSC-LP		353	275	0.24929178470254956
blend2	ojAlgo-MIP	617778334	353	275	0.24929178470254956
bm23	HiGHS	79214667	27	21	1.0
bm23	SCIP	105292500	27	21	1.0
bm23	SSC-LP	107417333	27	21	1.0
bm23	ojAlgo-MIP	2748916	27	21	1.0
bppc8-02	HiGHS	152120291	232	60	0.008620689655172414
bppc8-02	SCIP	142403250	232	60	0.008620689655172414
bppc8-02	SSC-LP		232	60	0.008620689655172414
bppc8-02	ojAlgo-MIP	608237458	232	60	0.008620689655172414
cracpb1	HiGHS	19749416	572	144	1.0
cracpb1	SCIP	62031125	572	144	1.0
cracpb1	SSC-LP		572	144	1.0
cracpb1	ojAlgo-MIP	79399791	572	144	1.0
dcmulti	HiGHS	835419875	548	291	0.9452554744525548
dcmulti	SCIP	1280064875	548	291	0.9452554744525548
dcmulti	SSC-LP		548	291	0.9452554744525548
dcmulti	ojAlgo-MIP	480488208	548	291	0.9452554744525548
egout	HiGHS	9132166	141	99	0.7801418439716312
egout	SCIP	3726708	141	99	0.7801418439716312
egout	SSC-LP	2868214542	141	99	0.7801418439716312
egout	ojAlgo-MIP		141	99	0.7801418439716312
enigma	HiGHS	149690000	100	22	0.09
enigma	SCIP	81217917	100	22	0.09
enigma	SSC-LP	1970193708	100	22	0.09
enigma	ojAlgo-MIP	13235208	100	22	0.09
enlight8	HiGHS	329864375	128	65	0.5
enlight8	SCIP	2184875	128	65	0.5
enlight8	SSC-LP		128	65	0.5
enlight8	ojAlgo-MIP	460844708	128	65	0.5
enlight_hard	HiGHS	5084399709	200	101	0.5
enlight_hard	SCIP	3132875	200	101	0.5
enlight_hard	SSC-LP		200	101	0.5
enlight_hard	ojAlgo-MIP	15812652000	200	101	0.5
exp-1-500-5-5	HiGHS	2012293084	990	551	1.0
exp-1-500-5-5	SCIP	893344708	990	551	1.0
exp-1-500-5-5	SSC-LP		990	551	1.0
exp-1-500-5-5	ojAlgo-MIP		990	551	1.0
f2gap40400	HiGHS	4981750	400	41	0.9925
f2gap40400	SCIP	23154833	400	41	0.9925
f2gap40400	SSC-LP	20488436625	400	41	0.9925
f2gap40400	ojAlgo-MIP	716613417	400	41	0.9925
fixnet3	HiGHS	44939167	878	479	0.9965831435079726
fixnet3	SCIP	15416959	878	479	0.9965831435079726
fixnet3	SSC-LP		878	479	0.9965831435079726
fixnet3	ojAlgo-MIP		878	479	0.9965831435079726
fixnet4	HiGHS	182045917	878	479	0.9851936218678815
fixnet4	SCIP	249783959	878	479	0.9851936218678815
fixnet4	SSC-LP		878	479	0.9851936218678815
fixnet4	ojAlgo-MIP		878	479	0.9851936218678815
fixnet6	HiGHS	1240638292	878	479	0.9043280182232346
fixnet6	SCIP	4499007875	878	479	0.9043280182232346
fixnet6	SSC-LP		878	479	0.9043280182232346
fixnet6	ojAlgo-MIP		878	479	0.9043280182232346
flugpl	HiGHS	36670292	18	19	1.0
flugpl	SCIP	15384042	18	19	1.0
flugpl	SSC-LP	36543166	18	19	1.0
flugpl	ojAlgo-MIP	5234125	18	19	1.0
