Model	Solver	Time	nbVars	nbExpr	density
QPLIB_8559	Clarabel4j	3231077834	10000	5001	3.9984E-4
QPLIB_8559	HiGHS		10000	5001	3.9984E-4
QPLIB_8559	ojAlgo-QP	56697176791	10000	5001	3.9984E-4
QPLIB_8567	Clarabel4j	2472587916	10000	7501	3.9984E-4
QPLIB_8567	HiGHS	51709241000	10000	7501	3.9984E-4
QPLIB_8567	ojAlgo-QP	60191912500	10000	7501	3.9984E-4
QPLIB_8845	Clarabel4j	325247958	1546	778	0.024314301063211995
QPLIB_8845	HiGHS		1546	778	0.024314301063211995
QPLIB_8845	ojAlgo-QP	2066841708	1546	778	0.024314301063211995
QPLIB_8906	Clarabel4j	471171417	5223	839	0.0020885471406259203
QPLIB_8906	HiGHS	292331250	5223	839	0.0020885471406259203
QPLIB_8906	ojAlgo-QP	1258397708	5223	839	0.0020885471406259203
QPLIB_9002	Clarabel4j		2890	1650	3.4602076124567473E-4
QPLIB_9002	HiGHS		2890	1650	3.4602076124567473E-4
QPLIB_9002	ojAlgo-QP	1162068333	2890	1650	3.4602076124567473E-4
